Mapping,StateName,Longitude,Latitude
Legislation,Western Australia,116,-22.5
Legislation,New South Wales,141.5,-29.5
Legislation,NSW,130,-28
Legislation,Van Diemen's Land,145.5,-41.4
Legislation,South Australia,129.5,-27
Legislation,North Australia,133,-20
Colonisation,Western Australia,121,-25
Colonisation,New South Wales,143,-31.8
Colonisation,NSW,130,-28.6
Colonisation,Van Diemen's Land,145.5,-42
Colonisation,South Australia,133,-28.6
Colonisation,North Australia,133,-20
Colonisation,New Zealand,168,-44.6