Mission,State,From,To,Run By,Lat,Lon,Wikipedia,Find & Connect
Lockhart River,QLD,1924,1967,ABM – Australian Board of Mission,12°47′11″S,143°20′34″E,"https://en.wikipedia.org/wiki/Lockhart_River,_Queensland#Lockhart_River_Mission_(1924%E2%80%931967)",https://www.findandconnect.gov.au/entity/lockhart-river-mission/
Mackay,QLD,1871,1901,MTH – Methodist Overseas Mission,21.2425°S,149.1452°E,"https://en.wikipedia.org/wiki/Mackay,_Queensland",
Mapoon,QLD,1891,1987,MOR – Moravians / PRES – Australian Presbyterian Board of Missions,12.0190°S,141.9025°E,"https://en.wikipedia.org/wiki/Mapoon,_Queensland",https://www.findandconnect.gov.au/entity/industrial-school-mapoon-mission-station/
Marie Yamba,QLD,1888,1902,L – Lutheran Church of Australia,20°35′48.1″S,148°34′47.66″E,https://en.wikipedia.org/wiki/Marie_Yamba_Aboriginal_Mission,
Maryborough,QLD,,,CMS – Church Missionary Society,,,,
Mona Mona,QLD,1913,1962,ADV – Seventh Day Adventists,16°42′45.8″S,145°32′19″E,https://en.wikipedia.org/wiki/Mona_Mona_Mission,https://www.findandconnect.gov.au/entity/mona-mona-mission/
Moreton Bay,QLD,1837,1845,L – Lutheran Church of Australia / PRES – Australian Presbyterian Board of Missions,-27.4153239,153.191331,https://en.wikipedia.org/wiki/Zion_Hill_Mission,
Moreton Bay,QLD,1837,1846,CMS – Church Missionary Society,-27.4153239,153.191331,https://en.wikipedia.org/wiki/Zion_Hill_Mission,
Mornington Island,QLD,1914,1978,PRES – Australian Presbyterian Board of Missions,16°30′S,139°30′E,https://en.wikipedia.org/wiki/Mornington_Island,https://www.findandconnect.gov.au/entity/mornington-island-mission/
Palm Island (St Michael's School),QLD,1931,1986,RC – Roman Catholic,-18.7335456,146.5754098,https://en.wikipedia.org/wiki/Palm_Island_Aboriginal_Settlement,https://www.findandconnect.gov.au/entity/palm-island-aboriginal-settlement/
Purga,QLD,1915,1948,SAL – Salvation Army,27.6983°S,152.7130°E,"https://en.wikipedia.org/wiki/Purga,_Queensland",https://www.findandconnect.gov.au/entity/industrial-school-purga-mission-station/
Somerset,QLD,1867,1868,SPG – Society for the Propagation of the Gospel (CE – Church of England),10.8202°S,142.5175°E,"https://en.wikipedia.org/wiki/Somerset,_Queensland",
Stewards Creek,QLD,1885,1901,MTH – Methodist Overseas Mission,,,,
Stradbroke Island (Myora Mission),QLD,1843,1847,RC – Roman Catholic,-27.4365956,153.5384906,https://en.wikipedia.org/wiki/Myora_Mission,
Stradbroke Island (Myora Mission),QLD,1892,1943,GOVT – Government–run,-27.4365956,153.5384906,https://en.wikipedia.org/wiki/Myora_Mission,https://www.findandconnect.gov.au/entity/stradbroke-island-lazaret/
Taroom Aboriginal Mission,QLD,1911,1927,GOVT – Government–run,25.5789°S,149.8793°E,https://en.wikipedia.org/wiki/Taroom_Aboriginal_Settlement,
Thursday Island,QLD,1871,1915,LMS – London Missionary Society,142.2205°E,142.2205°E,,
Thursday Island,QLD,,,ABM – Australian Board of Mission,10.585°S,142.2205°E,https://en.wikipedia.org/wiki/Thursday_Island,
Weipa,QLD,1896,1966,MOR – Moravians / PRES – Australian Presbyterian Board of Missions,12.63°S,141.8786°E,https://en.wikipedia.org/wiki/Weipa,
Woorabinda,QLD,1911,1986,RC – Roman Catholic,24.1288°S,149.4580°E,"https://en.wikipedia.org/wiki/Woorabinda,_Queensland",https://www.findandconnect.gov.au/entity/woorabinda/
Yarrabah,QLD,1891,1986,ABM – Australian Board of Mission,16.9076°S,145.8674°E,"https://en.wikipedia.org/wiki/Yarrabah,_Queensland",https://www.findandconnect.gov.au/entity/industrial-school-yarrabah-mission-station/
Yungaburra,QLD,,,AOG – Assembly of God,17.2688°S,145.5827°E,https://en.wikipedia.org/wiki/Yungaburra,
Adelaide Children's Home,SA,,,ABM – Australian Board of Mission,,,,
Adelaide School,SA,1839,1848,L – Lutheran Church of Australia,,,,
Amata (Musgrave Park),SA,1961,,GOVT – Government–run,26°09′S,131°08′E,"https://en.wikipedia.org/wiki/Amata,_South_Australia",
Colebrook Home,SA,1927,1944,UAM – United Aborigines Mission,-32.3456751,137.9993778,https://en.wikipedia.org/wiki/Colebrook_Home,https://www.findandconnect.gov.au/entity/colebrook-home-2/
Colebrook Home,SA,1944,1971,UAM – United Aborigines Mission,-35.0275301,138.593696,,
Colebrook Home,SA,1971,1981,UAM – United Aborigines Mission,-35.0212636,138.5735004,,
Davenport,SA,1937,1965,BR – Brethren,-32.4721875,137.7484573,,
Davenport House,SA,1964,1977,,-34.9596145,138.5875462,,https://www.findandconnect.gov.au/entity/davenport-house-2/
Encounter Bay,SA,1840,1848,L – Lutheran Church of Australia,-35.5691905,138.5579155,,
Ernabella,SA,1937,1974,PRES – Australian Presbyterian Board of Missions / UC – Uniting Church,26°17′12″S,132°07′59″E,"https://en.wikipedia.org/wiki/Pukatja,_South_Australia",https://www.findandconnect.gov.au/entity/ernabella-mission/
Finniss Springs,SA,1939,1965,UAM – United Aborigines Mission,-29.7484791,137.4627987,,https://www.findandconnect.gov.au/entity/finniss-springs-mission-2/
Gerard,SA,1925,1961,UAM – United Aborigines Mission,-34.3753504,140.4375575,,https://www.findandconnect.gov.au/entity/gerard-mission-2/
Kadina,SA,1865,,MOR – Moravians,33°57′45″S,137°42′45″E,"https://en.wikipedia.org/wiki/Kadina,_South_Australia",
Koonibba,SA,1901,1963,L – Lutheran Church of Australia,31°54′14″S,133°25′31″E,https://en.wikipedia.org/wiki/Koonibba,
Kopperamanna,SA,1866,1917,L – Lutheran Church of Australia,28°35′53″S,138°33′22″E,https://en.wikipedia.org/wiki/Killalpaninna_Mission,https://www.findandconnect.gov.au/entity/killalpaninna-mission/
Manunka Aborigines Mission Home,SA,1902,1916,,-34.910835,139.2655885,,https://www.findandconnect.gov.au/entity/manunka-mission/
Mount Gambier,SA,1865,1867,AFA – Aborigines' Friends' Association,-37.8216962,140.7544732,,https://www.findandconnect.gov.au/entity/mount-gambier-aborigines-home/
Nepabunna,SA,1930,1977,UAM – United Aborigines Mission,-30.5953086,138.8939473,,https://www.findandconnect.gov.au/entity/nepabunna-mission/
Oodnadatta,SA,1924,1974,UAM – United Aborigines Mission,-27.5500112,135.4079834,,https://www.findandconnect.gov.au/entity/oodnadatta-childrens-home/
Ooldea,SA,1933,1954,UAM – United Aborigines Mission,-30.4102894,131.7871707,,https://www.findandconnect.gov.au/entity/ooldea-mission/
Point McLeay,SA,1858,1916,AFA – Aborigines' Friends' Association,35.506°S,139.135°E,"https://en.wikipedia.org/wiki/Raukkan,_South_Australia",https://www.findandconnect.gov.au/entity/point-mcleay-mission-station-2/
Point Pearce,SA,1868,1915,MOR – Moravians,34°25′01″S,137°30′07″E,"https://en.wikipedia.org/wiki/Point_Pearce,_South_Australia",
Poonindie,SA,1850,1894,ABM – Australian Board of Mission,34.58126250°S,135.88101325°E,"https://en.wikipedia.org/wiki/Poonindie,_South_Australia",https://www.findandconnect.gov.au/entity/poonindie-mission/
Port Lincoln,SA,1840,1845,L – Lutheran Church of Australia,-34.7225606,135.8185457,,
St Francis House (Adelaide),SA,1949,1957,ABM – Australian Board of Mission,-34.848835,138.4401427,,https://www.findandconnect.gov.au/entity/st-francis-house/
Umeewarra,SA,1937,1965,BR – Brethren,-32.4728481,137.7779663,,https://www.findandconnect.gov.au/entity/umeewarra-mission-home-davenport-reserve/
Yalata,SA,1954,1975,L – Lutheran Church of Australia,-31.4813193,131.7971806,,https://www.findandconnect.gov.au/entity/yalata-mission/
Cape Barren Reserve,TAS,1881,1951,,40.402°S,147.991°E,https://en.wikipedia.org/wiki/Cape_Barren_Island,https://www.findandconnect.gov.au/entity/cape-barren-island-reserve/
Oyster Cove,TAS,1847,1874,,43°5′22.03″S,147°17′2.72″E,"https://en.wikipedia.org/wiki/Oyster_Cove,_Tasmania",
Wybalenna (Flinders Island),TAS,1833,1847,,40°01′00″S,147°57′44″E,https://en.wikipedia.org/wiki/Wybalenna_Aboriginal_Establishment,
Buntingdale,VIC,1839,1848,WMS – Wesleyan Missionary Society / MTH – Methodist Overseas Mission,38°20′0″S,143°47′0″E,https://en.wikipedia.org/wiki/Birregurra,
Coranderrk,VIC,1863,1924,GOVT – Government–run,37.684007°S,145.521938°E,https://en.wikipedia.org/wiki/Coranderrk,https://www.findandconnect.gov.au/entity/coranderrk-childrens-asylum-and-dormitory/
Framlingham,VIC,1865,1867,CE – Church of England,38°14′0″S,142°42′0″E,"https://en.wikipedia.org/wiki/Framlingham,_Victoria",https://www.findandconnect.gov.au/entity/framlingham-aboriginal-station/
Framlingham,VIC,1869,1870,GOVT – Government–run,142°42′0″E,142°42′0″E,"https://en.wikipedia.org/wiki/Framlingham,_Victoria",
Goulburn Station,VIC,1841,1854,GOVT – Government–run,36°37′S,145°13′E,"https://en.wikipedia.org/wiki/Murchison,_Victoria",
Lake Boga,VIC,1851,1856,MOR – Moravians,-35.4483035,143.5718919,https://en.wikipedia.org/wiki/Lake_Boga_mission,
Lake Condah,VIC,1867,1913,CE – Church of England,-38.0744438,141.7897131,https://en.wikipedia.org/wiki/Lake_Condah_Mission,https://www.findandconnect.gov.au/entity/lake-condah-mission-station/
Lake Condah,VIC,1913,1918,GOVT – Government–run,-38.0744438,141.7897131,https://en.wikipedia.org/wiki/Lake_Condah_Mission,
Lake Hindmarsh (Ebenezer),VIC,1858,1903,MOR – Moravians / PRES – Australian Presbyterian Board of Missions,-36.0399512,141.8254593,https://en.wikipedia.org/wiki/Ebenezer_Mission,https://www.findandconnect.gov.au/entity/ebenezer-mission/
Lake Tyers,VIC,1861,1908,CE – Church of England,37.839363°S,148.099066°E,https://en.wikipedia.org/wiki/Lake_Tyers_Mission,https://www.findandconnect.gov.au/entity/lake-tyers-mission-station/
Lake Tyers,VIC,1908,1970,GOVT – Government–run,37.839363°S,148.099066°E,https://en.wikipedia.org/wiki/Lake_Tyers_Mission,
Lake Wellington (Ramahyuck),VIC,1862,1908,MOR – Moravians / PRES – Australian Presbyterian Board of Missions,37°58′S,147°05′E,"https://en.wikipedia.org/wiki/Stratford,_Victoria",https://www.findandconnect.gov.au/entity/ramahyuck-aboriginal-mission/
Merri Creek School,VIC,1845,1851,BAP – Australian Baptist Missionary Society,-37.795445,145.001359,,
Mount Franklyn Station,VIC,1839,1864,GOVT – Government–run,37°14′15″S,144°5′33″E,https://en.wikipedia.org/wiki/Franklinford,
Mount Rouse Station,VIC,1841,1851,GOVT – Government–run,37°53′S,142°17′E,"https://en.wikipedia.org/wiki/Penshurst,_Victoria",
Narre Narre Warren Station,VIC,1841,1843,GOVT – Government–run,-37.9531563,145.2329709,,
Yarra Mission,VIC,1837,1839,CMS – Church Missionary Society,-37.83024,144.9775747,,
Yelta,VIC,1855,1868,CE – Church of England,34°07′S,141°59′E,"https://en.wikipedia.org/wiki/Yelta,_Victoria",
Albany,WA,1845,1848,RC – Roman Catholic,35°01′22″S,117°52′53″E,"https://en.wikipedia.org/wiki/Albany,_Western_Australia",
Albany Boys Home,WA,1970,1978,RC – Roman Catholic,-35.0224944,117.9003739,,https://www.findandconnect.gov.au/entity/albany-boys-hostel/
Amy Bethel House,WA,1956,1975,UAM – United Aborigines Mission,-17.3068536,123.6335295,,https://www.findandconnect.gov.au/entity/derby-hostel/
Annesfield,WA,1852,1871,,35.0197°S,17.8782°E,https://en.wikipedia.org/wiki/Camfield_House,https://www.findandconnect.gov.au/entity/annesfield/
Badjalang,WA,1930,1950,UAM – United Aborigines Mission,31.997°S,117.499°E,"https://en.wikipedia.org/wiki/Badjaling,_Western_Australia",
"Balgo Hills (Billiluna, Lake Gregory)",WA,1931,1980,RC (P) – Roman Catholic (Pallotine),20.14°S,127.985°E,"https://en.wikipedia.org/wiki/Balgo,_Western_Australia",https://www.findandconnect.gov.au/entity/wirrumanu/
Beagle Bay (West Kimberley),WA,1891,1976,RC (T/P) – Roman Catholic (Trappists/Pallotine),16°58′44″S,122°39′58″E,"https://en.wikipedia.org/wiki/Beagle_Bay_Community,_Western_Australia",https://www.findandconnect.gov.au/entity/beagle-bay-mission/
Bennett House (previously East Perth Girl's Home),WA,1952,1981,,-31.9569691,115.8676635,,https://www.findandconnect.gov.au/entity/bennett-house/
Boulder Working Youths Hostel,WA,1971,1995,AAEMB – Australian Aborigines Evangelical Mission Board,-30.7751219,121.4759293,,https://www.findandconnect.gov.au/entity/millen-street-hostel/
Broome Convent,WA,1908,,RC – Roman Catholic,,,,
Carrolup Native Settlement (Katanning),WA,1915,1922,GOVT – Government–run,33.655°S,117.248°E,https://en.wikipedia.org/wiki/Marribank,https://www.findandconnect.gov.au/entity/carrolup-native-settlement/
Cundeelee,WA,1950,1976,AAEMB – Australian Aborigines Evangelical Mission Board,30.68°S,123.34°E,"https://en.wikipedia.org/wiki/Cundeelee,_Western_Australia",https://www.findandconnect.gov.au/entity/cundeelee/
"Derby (Gibb River, Mowanjum, Pandanus)",WA,1956,1979,RC – Roman Catholic (Presbyterian?),-17.0356471,124.6640598,,https://www.findandconnect.gov.au/entity/mowanjum/
Derby (Leper Station),WA,1930,1975,UAM – United Aborigines Mission,-17.3088065,123.6500547,"https://en.wikipedia.org/wiki/Derby,_Western_Australia",
Derby (Leper Station),WA,1937,1987,RC – Roman Catholic,-17.3088065,123.6500547,"https://en.wikipedia.org/wiki/Derby,_Western_Australia",https://www.findandconnect.gov.au/entity/derby-leprosarium-3/
Disaster Bay,WA,1895,1903,RC – Roman Catholic,-16.884636,123.1290785,,
Dulhi Gunyah Mission Home (Victoria Park),WA,1909,1917,UAM – United Aborigines Mission,31.988°S,115.904°E,"https://en.wikipedia.org/wiki/East_Victoria_Park,_Western_Australia",https://www.findandconnect.gov.au/entity/dulhi-gunyah/
East Perth Girl's Home (later Bennett House),WA,1931,1952,GOVT – Government–run,-31.9569691,115.8676635,,
Ellensbrook (Busselton),WA,1899,1917,GOVT – Government–run,-31.9569691,115.8676635,,https://www.findandconnect.gov.au/entity/ellensbrook-farm-home/
Esperance Mission Home,WA,1966,1980,AAEMB – Australian Aborigines Evangelical Mission Board,-33.8412127,121.9010313,,https://www.findandconnect.gov.au/entity/australian-aboriginal-evangelical-mission-hostel/
Fairhaven (Esperance),WA,1965,1987,CC – Church of Christ,-33.8677661,121.8849175,,https://www.findandconnect.gov.au/entity/fairhaven-hostel/
Fitzroy Crossing,WA,1952,1987,UAM – United Aborigines Mission,18°11′40″S,125°34′00″E,"https://en.wikipedia.org/wiki/Fitzroy_Crossing,_Western_Australia",https://www.findandconnect.gov.au/entity/fitzroy-crossing-mission/
Forrest River (Kimberley),WA,1913,1971,CE – Church of England / ABM – Australian Board of Mission,15°11′00″S,127°51′00″E,"https://en.wikipedia.org/wiki/Oombulgurri_Community,_Western_Australia",https://www.findandconnect.gov.au/entity/forrest-river-mission/
Gascoyne,WA,1885,,CE – Church of England,,,,
Gnowangerup,WA,1926,1973,UAM – United Aborigines Mission,-33.935207,117.9952309,https://en.wikipedia.org/wiki/Gnowangerup_Mission,https://www.findandconnect.gov.au/entity/gnowangerup-mission/
Guildford,WA,1846,1848,RC – Roman Catholic,31.9°S,115.973°E,,
Halls Creek,WA,1957,1967,UAM – United Aborigines Mission,-18.2252094,127.6520074,,https://www.findandconnect.gov.au/entity/united-aborigines-mission-halls-creek/
Halls Creek (Parochial Mission area),WA,1943,1960,RC – Roman Catholic,-18.3450349,127.8392433,,https://www.findandconnect.gov.au/entity/halls-creek-mission/
Holy Child Orphanage (Broome –previously St John of God Home for Native Girls),WA,1912,1970,RC – Roman Catholic,-17.9588631,122.1976005,,https://www.findandconnect.gov.au/entity/holy-child-orphanage/
Jigalong (East Pilbara),WA,1945,1969,APC – Apostolic Church,-23.3588907,120.7401137,,https://www.findandconnect.gov.au/entity/aborigines-rescue-mission-jigalong/
Kalgoorlie Girls Home,WA,1909,1930,SAL – Salvation Army,-30.7425181,121.4270485,,https://www.findandconnect.gov.au/entity/salvation-army-girls-home-kalgoorlie/
Kalumburu (East Kimberley – previously Drysdale River),WA,1907,1982,RC (B) – Roman Catholic (Benedictine),14.295°S,126.642°E,"https://en.wikipedia.org/wiki/Kalumburu,_Western_Australia",https://www.findandconnect.gov.au/entity/kalumburu-mission/
Karalundi,WA,1954,1974,ADV – Seventh Day Adventists,-26.1276546,118.6432034,,https://www.findandconnect.gov.au/entity/karalundi-mission-2/
Katanning,WA,1952,1989,BAP – Australian Baptist Missionary Society,-33.6915812,117.5589639,,https://www.findandconnect.gov.au/entity/katanning-group-home/
Katukutu Home,WA,1958,1982,BAP – Australian Baptist Missionary Society,-31.9328986,115.8343162,,https://www.findandconnect.gov.au/entity/katukutu-employment-hostel/
Kellerberrin,WA,1939,1950,BAP – Australian Baptist Missionary Society,-31.6325711,117.6780975,,
Kunmunya (Kimberley – previously Port George IV),WA,1913,1953,PRES – Australian Presbyterian Board of Missions,-15.3832468,124.6588006,,https://www.findandconnect.gov.au/entity/port-george-iv-mission/
Kununurra,WA,1964,,RC – Roman Catholic,-15.7782618,128.7027007,"https://en.wikipedia.org/wiki/Kununurra,_Western_Australia",https://www.findandconnect.gov.au/entity/waringarri-group-home/
Kurrawang,WA,1952,1984,BR – Brethren,-29.4443691,120.3776889,,https://www.findandconnect.gov.au/entity/kurrawang-mission/
Kyewong Home,WA,1967,2002,BAP – Australian Baptist Missionary Society,-32.01151,115.817058,,https://www.findandconnect.gov.au/entity/kyewong-hostel/
La Grange (West Kimberley),WA,1924,1985,RC (PSM/P) – Roman Catholic (Pious Society of Missions / Pallotine),18.68442°S,121.77748°E,https://en.wikipedia.org/wiki/Lagrange_Bay,https://www.findandconnect.gov.au/entity/la-grange-mission/
"Lombadina (One Arm Point, Cygnet Point)",WA,1911,1985,RC (PSM) – Roman Catholic (Pious Society of Missions),16°30′54.00″S,122°53′30.00″E,"https://en.wikipedia.org/wiki/Lombadina,_Western_Australia",https://www.findandconnect.gov.au/entity/lombadina/
MacDonald House (Perth),WA,,,CE – Church of England,,,,
Maria Goretti Home,WA,1960,1974,RC – Roman Catholic,-17.9583592,122.2325959,,https://www.findandconnect.gov.au/entity/maria-goretti-home/
Methodist Children's Home,WA,,,MTH – Methodist Overseas Mission,,,,
Mogumber,WA,1951,1974,MTH – Methodist Overseas Mission,-31.0382933,116.037585,,https://www.findandconnect.gov.au/entity/mogumber/
Moola Bulla (East Kimberley),WA,1911,1954,GOVT – Government–run,-18.1889644,127.4594063,,https://www.findandconnect.gov.au/entity/moola-bulla-station/
Moore River Native Settlement (Mogumber),WA,1918,1951,GOVT – Government–run,-31.016191,115.9239706,https://en.wikipedia.org/wiki/Moore_River_Native_Settlement,
Mount Magnet,WA,,,UAM – United Aborigines Mission,-28.065151,117.8075483,,
Mount Margaret (Goldfields),WA,1921,1975,UAM – United Aborigines Mission,-28.8313074,122.1493563,,https://www.findandconnect.gov.au/entity/mount-margaret-mission/
Mowanjum,WA,1956,1981,PRES – Australian Presbyterian Board of Missions,-17.3871275,123.5713792,,https://www.findandconnect.gov.au/entity/mowanjum/
New Norcia (Victoria Plains),WA,1846,1974,RC (B) – Roman Catholic (Benedictine),30°57′10.8″S,116°11′27.6″E,"https://en.wikipedia.org/wiki/New_Norcia,_Western_Australia",https://www.findandconnect.gov.au/entity/new-norcia-mission/
Norseman,WA,1935,1985,CC – Church of Christ,-32.1936888,121.7568615,,https://www.findandconnect.gov.au/entity/norseman-mission-2/
Ocean View Home,WA,1970,1995,RC – Roman Catholic,-32.0074319,115.748889,,https://www.findandconnect.gov.au/entity/oceanview/
Pallotine Boys Hostel (Albany),WA,1968,1978,RC (P) – Roman Catholic (Pallotine),,,,
Perth Native Institution,WA,1840,1845,MTH – Methodist Overseas Mission,-31.9444518,115.8570506,,https://www.findandconnect.gov.au/entity/perth-native-school/
Port George IV (later called Kunmunyah),WA,1910,1916,PRES – Australian Presbyterian Board of Missions,-15.3832468,124.6588006,,https://www.findandconnect.gov.au/entity/port-george-iv-mission/
Range View Students Home,WA,,,PRES – Australian Presbyterian Board of Missions,,,,
Rockhole (Balgo),WA,1934,1975,RC – Roman Catholic,-20.1432337,127.9413597,,https://www.findandconnect.gov.au/entity/wirrumanu/
Roelands Native Mission Farm,WA,1938,1975,INTER – Interdenominational / CC – Church of Christ,-33.3200734,115.879412,https://en.wikipedia.org/wiki/Roelands_Aboriginal_Mission,https://www.findandconnect.gov.au/entity/roelands-native-mission-farm-2/
Rossmoyne Training Centre,WA,1955,1991,RC – Roman Catholic,-32.0369666,115.8680323,,https://www.findandconnect.gov.au/entity/pallottine-mission-centre/
"Sister Kate's Home (Queens Park, Perth)",WA,1933,1980,ANG – Anglican,-32.0044368,115.9293629,,https://www.findandconnect.gov.au/entity/sister-kates-childrens-cottage-home/
Smithies Mission (Perth),WA,1842,1855,WMS – Wesleyan Missionary Societ,31°53′18″S,116°46′07″E,https://en.wikipedia.org/wiki/John_Smithies,
St John of God Home for Native Girls (Broome – later called Holy Child Orphanage),WA,1941,1962,,-17.9757087,122.2022892,,https://www.findandconnect.gov.au/entity/holy-child-orphanage/
St Joseph's Home (near Derby),WA,1961,,RC – Roman Catholic,,,,
Sunday Island (Kimberley),WA,1898,1964,UAM – United Aborigines Mission / ABM – Australian Board of Mission,-38.7116083,146.5821339,,https://www.findandconnect.gov.au/entity/sunday-island-mission-2/
Swan Native and Half–Caste Home/Mission,WA,1870,1921,ANG – Anglican,-31.8676018,115.973385,,https://www.findandconnect.gov.au/entity/swan-native-and-half-caste-mission/
Swan River,WA,1852,,CE – Church of England,,,,
Tardun (Pallotine Mission School),WA,1948,2004,RC (P) – Roman Catholic (Pallotine),-28.7945792,115.7623338,,https://www.findandconnect.gov.au/entity/pallottine-mission-tardun/
Vasse Mission School,WA,,,CE – Church of England,33.69°S,115.3°E,,
Wandering (St Xavier Native Mission),WA,1944,1976,RC – Roman Catholic,-32.6101455,116.6202716,,https://www.findandconnect.gov.au/entity/wandering-mission-2/
Waneroo (Perth),WA,1831,1854,MTH – Methodist Overseas Mission,-31.7508916,115.7615936,,
Warburton Ranges,WA,1933,1977,UAM – United Aborigines Mission,-26.1349217,126.5379683,,https://www.findandconnect.gov.au/entity/warburton-mission/
Warminda Girls Home,WA,1984,1993,MTH – Methodist Overseas Mission,-31.9931094,115.8724884,,https://www.findandconnect.gov.au/entity/warminda/
Wiluna,WA,1955,1975,ADV – Seventh Day Adventists,-26.6632765,120.1874562,,https://www.findandconnect.gov.au/entity/wiluna-mission/
Wonguntha Mission Training Farm (Esperance),WA,1954,1993,INTER – Interdenominational,-33.8565462,121.8421664,,https://www.findandconnect.gov.au/entity/wongutha-mission-training-farm/
Wotjalum,WA,1953,1956,PRES – Australian Presbyterian Board of Missions,,,,
Wyndham,WA,1959,,,15°28′57″S,128°7′22″E,"https://en.wikipedia.org/wiki/Wyndham,_Western_Australia",
