Locality_name,AR_number,Associated_names,Location_comments,Lat,Lon,Year_gazetted_est_closure,Years_of_operation_as_mission,Reference,Parish_Maps,Type
Back Creek,AR 13843,,"Parish of Bungabee, County of Rous",,,1891-1900,,"Felton, 2013",,Unknown location reserves
Mongarlowe,AR 148,,"Parish of Mongarlowe, County of St Vincent",,,1879-1916,,"Felton, 2013, p.228",,Unknown location reserves
Unkya Creek,AR 19667,,"Parish of Warrell, County of Raleigh",,,1894-1962,,"Felton, 2013, p.220",,Unknown location reserves
Hillston,AR 23407,"Wallanthery, Willanthry","Parish of Willanthry, County of Nicholson. On property of Wallanthery, NE of Hillston",,,1895-1904,,"Felton, 2013, pp.189-190; Kabaila, PR 2011, Survival legacies: stories from Aboriginal settlements of southeastern Australia, Canprint, Canberra, p.460",,Unknown location reserves
Collarenebri,AR 29330,,"Parish of Collarindabri, County of Finch",,,1899-1924,,"Felton, 2013, p.144",,Unknown location reserves
Tenterfield,AR 31024,,"Parish of Woodside, County of Clive. Near Gypsies Range, 10 miles west of Tenterfield and north of Mole River",,,1900-1907,,"Felton, 2013, p.274",,Unknown location reserves
Narooma,AR 547,,"Parish of Wagonga, County of Dampier",,,,,"Felton, 2013, p.239",,Unknown location reserves
Condobolin,AR 55357/8,,"Parish of Culgoa, County of Cunningham",,,1919?-unknown,,"Felton, 2013, p.146",,Unknown location reserves
Gilgandra,AR 57420,,"Parish Unknown, probably County of Ewenmar",,,,,"Felton, 2013, p.172",,Unknown location reserves
Collarenebri,AR 67377,,"Parish of Collarindabri, County of Finch",,,1938-1976,,"Felton, 2013, p.144",,Unknown location reserves
Peak Hill,AR 85081,,"Parish of Mingelo, County of Narromine. Town housing site",,,1964-,,"Felton, 2013",,Unknown location reserves
Peak Hill,AR 86785,,"Parish of Mingelo, County of Narromine. Town housing site",,,1968-,,"Felton, 2013",,Unknown location reserves
Walgett,AR 9656,,"Parish of Merritombea, County of Baradine",,,1889-1895,,"Felton, 2013, p.287",,Unknown location reserves
Ballengarra,,Ballenjarra,"Probably Parish of Ballengarra, County of Macquarie",,,1894-1940s?,,"Felton, 2013, p.253",,Unknown location reserves
Blaxlands Creek,"AR 2956, AR 15679",,"Parish of Elland, County of Clarence",,,1892-?,,"Felton, 2013, p.178",,Unknown location reserves
Camira,,,"Parish of Camira, County of Richmond",,,1887-?,,"Felton, 2013, p.181",,Unknown location reserves
Cargo,AR 1056,,"Parish of Canomadine, County of Ashburnham",,,1879-1893,,"Felton, 2013, p.137",,Unknown location reserves
Fingal Head,Unknown,,"Parish of Terranora, County of Rous",,,1960s-,,"Felton, 2013, pp.281-282",,Unknown location reserves
Iron Pot Creek,AR 6269,,"Parish of Toonumbar and Babyil, County of Rous",,,1888-1891,,"Felton, 2013, p.269",,Unknown location reserves
Kangaroo Valley,AR 12445,,"Parish of Burrawang, County of Camden",,,1890-1899,,"Felton, 2013, p.198",,Unknown location reserves
Lismore,Unknown,,"Parish of Lismore, County of Rous. Town housing site",,,1962-,,"Felton, 2013, p.219",,Unknown location reserves
Milparinka,,,"Parish of Milparinka, County of Evelyn",,,,,"Felton, 2013, p.226",,Unknown location reserves
Moulamein,"AR 85795, AR 86526",,"Parish of Moulamein, County of Wakool",,,1966-,,"Felton, 2013, pp. 231-232",,Unknown location reserves
Mundiwa,,,"Parish Unknown, Probably County of Narran",,,,,"Felton, 2013, pp. 232-233",,Unknown location reserves
Pretty Gully,"AR 43599, AR 43600",,"Parish of Jenny Lind, County of Buller",,,1909-1917,,"Felton, 2013, p.269",,Unknown location reserves
Redbourneberry Reserve (Singleton),"AR 7678, 13791, 24231",Singleton,"Parish of Darlington, County of Durham",,,1889-1911,,"Felton, 2013, p.191",,Unknown location reserves
Trial Bay,AR 217,Arakoon?,"Parish of Arakoon, County of Macquarie",,,1883-1891,,"Felton, 2013, p.280",,Unknown location reserves
Woolbrook (Walcha Road),,,"Parish Unknown, Probably County of Inglis",,,1896-1941?,,"Felton, 2013, p.303",,Unknown location reserves
Yantabulla,,,"Parish Unknown, County of Irrara",,,,,"Felton, 2013, p.304",,Unknown location reserves
Angledool,AR 41025/6,"Angledool Aboriginal Station, New Angledool","Close to township of New Angledool, within 1km",-29.1084,147.9187,1906-,1911-1936,"Felton, 2013, p.242; NSW Office of Environment & Heritage 2013, Angledool Reserve and Cemetery, viewed 22 June 2016, <http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?id=5062844>","New South Wales Department of Lands 1984, 'Map of the County of Narran, Land District of Brewarrina, Western Division, N.S.W.', Department of Lands, Sydney.",Stations
Bassendean,,Mooki Station,Station was located in vicinity of Moredum [Clerk's/Kelly's] Creek. 12 miles from Tingha and 12 miles from Bundarra,-30.0732,151.1944,1924-1927,1924-1927,"Felton, 2013, p.94",,Stations
Bellbrook,"AR 1, AR 49982",,Near Bellbrook,-30.8047,152.5216,1884-1954,1932-1954,"Felton, 2013, p.365","New South Wales Department of Lands 1923, 'Parish of Nulla Nulla, County of Dudley, Land District of Kempsey, Macleay Shire, Eastern Division N.S.W.', 4th edn, Department of Lands, Sydney.",Stations
Brewarrina,AR 3152,Quantambone Station,"10 miles east of town, northern bank of Barwon River",-29.9804,146.9661,1885-,1894-1965,"Felton, 2013, p.119; NSW Office of Environment & Heritage 2006, Brewarrina Aboriginal Mission Site, viewed 9 May 2016, <http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=5053415>","New South Wales Department of Lands 1984, 'Map of the County of Narran, Land District of Brewarrina, Western Division, N.S.W.', Department of Lands, Sydney.",Stations
Brungle,"AR 9971, AR 12489, AR 30722, AR 44288/9, AR 77806",,23km from Tumut,-35.1503,148.2344,1888-,1906-1945,"Felton, 2013, p.122; Hamilton, F & New South Wales Department of Environment and Conservation 2004, Aboriginal women’s heritage: Brungle & Tumut, Aboriginal women’s heritage, Dept. of Environment and Conservation, Hurstville, NSW","New South Wales Department of Lands 1896, 'Parish of Brungle, County of Buccleuch, Land Districts of Gundagai & Tumut, Eastern Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Stations
Bulgandramine,"AR 41699/700, AR 59878/9",,"Located on Bogan River, 12 miles north of Peak Hill. Later become Aboriginal station in 1931",-32.5863,148.0551,1907-1959,1931-1941,"Felton, 2013, p.124; Kabaila, PR 2011, Survival legacies: stories from Aboriginal settlements of southeastern Australia, Canprint, Canberra, pp. 178-189","New South Wales Department of Lands 1920, 'Parish of Mungerie, County of Kennedy, Land District of Parkes, Goobang Shire, Central Division N.S.W.', 5th edn, Department of Lands, Sydney.",Stations
Burnt Bridge (Kempsey),"AR 20865/6, AR 27273, AR 27299, AR 68441/2",Euroka Creek,3 miles south of Kempsey. Several reserves,-31.1079,152.8015,1894-,1936-1967,"Felton, 2013, p.365","New South Wales Department of Lands 1900, 'Parish of Kalateenee, County of Dudley, Land District of Kempsey, Eastern Division N.S.W.', 2nd edn, Department of Lands, Sydney.",Stations
Burra Bee Dee (Coonabarabran),"AR 15156, AR 40125, AR 46876, AR 47521","Coonabarabran, Forky Mountain, Forked Mountain Aboriginal Reserve","Gunnedah road, 7 miles from Coonabarabran",-31.2352,149.3448,1893-,1910-1964,"Felton, 2013, pp. 146-147, 365; NSW Office of Environment & Heritage 2004, Burra Bee Dee Mission, viewed 22 June 2016, <http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?id=5054965>","New South Wales Department of Lands 1960, 'Parish of Coonabarabran, County of Gowen, Land District of Coonabarabran, Coonabarabran Shire, Central Division N.S.W.', 9th edn, Department of Lands, Sydney.",Stations
Cabbage Tree Island,AR 52180/1,,"Located on an island in the Richmond River, 5km south of Wardell",-28.9817,153.4571,1893-,1912-1967,"Felton, 2013, p.365; NSW Office of Environment and Heritage 2013, Living on Cabbage Tree Island, viewed 17 August 2016, <http://www.environment.nsw.gov.au/nswcultureheritage/cabbagetree.htm>","New South Wales Department of Lands 1916, 'Parish of Broadwater, County of Rous, Land District of Lismore, Gundurimba and Tintenbar Shires, Eastern Division N.S.W.', 7th edn, Department of Lands, Sydney.",Stations
Caroona (Walhallow),"AR 21970, AR 28828, AR 30777","Walhallow Station, Quirindi","Near village of Caroona, 20 miles from Quirindi",-31.395,150.42,1895-,1906-1963,"Felton, 2013, p.137","New South Wales Department of Lands 1905, 'Parish of Doona, County of Pottinger, Land District of Murrurundi, Eastern Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Stations
Carowra Tank,"AR 41384/5, AR 41386/7",,"Located 40 miles NE of Ivanhoe and 30 miles north of Trida, on 'Wing Ding' property",-32.5657,144.8686,1907-1937,1925-1933,"Felton, 2013, p.138; Kabaila, PR 2011, Survival legacies: stories from Aboriginal settlements of southeastern Australia, Canprint, Canberra, p.461","New South Wales Department of Lands 1911, 'Map of the County of Mossgiel, Western Division, Land District of Hillston North, N.S.W.', Department of Lands, Sydney.",Stations
Cummeragunja,"AR 3045, AR 8997/8, AR 17180, AR 31120","Cumeroogunga, Cumeragunja, Cumeroogunya",Opposite village of Barmah,-36.0278,144.961,1883-,1887-1953,"Felton, 2013, p.156","New South Wales Department of Lands 1928, 'Parish of Bama, County of Cadell, Land District of Deniliquin, Murray Shire and Municipality, Central Division N.S.W.', 5th edn, Department of Lands, Sydney.",Stations
Dunoon,AR 35824/5,Modanville Aboriginal Reserve,"6 miles north of Lismore, near current site of Modanville Public School, Dunoon Road",-28.7299,153.2966,1903-1935,1914-1916,"Felton, 2013, p.163","New South Wales Department of Lands 1907, 'Parish of North Lismore, County of Rous, Land District of Lismore, Eastern Division N.S.W.', 5th edn, Department of Lands, Sydney.",Stations
Edgerton,"AR 48134/5, AR 42314/5",Yass,Yass,-34.9037,149.0651,1910-1919,1910-1916,"Felton, 2013, p.365; Kabaila, PR 2011, Survival legacies: stories from Aboriginal settlements of southeastern Australia, Canprint, Canberra, pp. 224-225","New South Wales Department of Lands 1911, 'Parish of Morumbateman, County of Murray, Land District of Yass, Goodradigbee Shire, Eastern Division N.S.W.', 4th edn, Department of Lands, Sydney.",Stations
Erambie,"AR 11634, AR 72706","Cowra, 32, 32 acres",Cowra,-33.8457,148.678,1890-,1924-1965,"Felton, 2013, p.165",,Stations
Euraba,AR 28193,"Eurabba, Old Kunopia",7 miles south of Boomi on Garah road,-28.801,149.6391,1898-1926,1912-1926,"Felton, 2013, p.365","New South Wales Department of Lands 1898, 'Parish of Tyrrell, County of Benarba, Moree Land District, Central Division N.S.W.', 2nd edn, Department of Lands, Sydney.",Stations
Gingie (Walgett),"AR 23077, AR 69691","Walgett Aboriginal Station, Barwon Mission",Walgett,-29.9896,148.0742,1895-,1941-1967,"Felton, 2013, p.288",,Stations
Grafton Common Aboriginal Station,"AR 2951, AR 14493, AR 17794",Grafton Aboriginal Home,"Near Bunyip Creek, 6 miles north of Grafton",-29.6073,152.9821,1887-1924,1887-1924,"Felton, 2013, p.365","New South Wales Department of Lands 1914, 'Parish of Great Marlow, County of Clarence, Land District of Grafton, Eastern Division N.S.W.', Department of Lands, Sydney.",Stations
Kinchela,,,,-30.9774,152.983,1883-1975,1917-1924,,"New South Wales Department of Lands 1889, 'Map of the Village of Kinchela and suburban lands, Parish of Arakoon, County of Macquarie, Land District of Kempsey', Department of Lands, Sydney; New South Wales Department of Lands 1911, 'Parish of Kinchela, County of Macquarie, Kempsey Land District, Eastern Division N.S.W.', 5th edn, Department of Lands, Sydney.",Stations
Mehi Mission (Moree),"AR 52431, AR 67842, AR 72574/5",Wirajarai Aboriginal Station,Moree,-29.4692,149.8195,1889-,1950-1967,"Felton, 2013, pp. 300-301","New South Wales Department of Lands 1927, 'Parish of Moree, County of Courallie, Land District of Moree, Boolooroo & Boomi Shires & Municipality of Moree, Central Division N.S.W.', 6th edn, Department of Lands, Sydney.",Stations
Menindee,"AR 65462, AR 73282, AR 89531",,10 km upstream from town on Darling River,-32.3343,142.5035,1933-,1933-1949,"Felton, 2013, pp. 224-225; NSW Office of Environment & Heritage 2015, Old Menindee Mission, viewed 21 June 2016, <http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?id=5062962>",,Stations
Moonahcullah,AR 27506/7,"Tumbudgerie, Calimo",30 km NW of Deniliquin,-35.3892,144.6485,1898-,1920s-1952,"Felton, 2013, p.365; Attwood, B, Burrage, WM, Burrage, A & Stokie, E 1994, A life together, a life apart: a history of relations between Europeans and Aborigines, Melbourne University Press, Melbourne, p.142","New South Wales Department of Lands 1887, 'Parish of Colimo, County of Townsend, Land District of Deniliquin, Murray Shire, Central Division N.S.W.', 2nd edn, Department of Lands, Sydney.",Stations
Muli Muli (Woodenbong),"AR 42950, AR 66508","Woodenbong, Mulli Mulli, Bokal-Ynee","7km south of Woodenbong, Tooloom Creek",-28.4192,152.5841,1908-,1929-1967,"Felton, 2013, p.108","New South Wales Department of Lands 1908, 'Parish of Lindsay, County of Buller, Land District of Casino, Eastern Division N.S.W.', 2nd edn, Department of Lands, Sydney.",Stations
Murrin Bridge,AR 71163,,12km north of Lake Cargelligo,-33.2142,146.3721,1944-,1949-1967,"Felton, 2013, p.366",,Stations
Noocoorilma (Sevington),AR 40459,"Pindari (Inverell) Aboriginal Station, Sevington (Wellingrove) Aboriginal Station, Nucoorilma, Glenorchy","South of the Severn River, 20-30 miles from towns Ashford, Inverell, Emmaville and Glen Innes",-29.476,151.3871,1893-1957,1910-1922,"Felton, 2013, pp. 86-87","New South Wales Department of Lands 1909, 'Parish of Blloonbah, County of Arrawatta, Land District of Inverell, Eastern Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Stations
Nymboida,"AR 45162, AR 45163, AR 50790",,25 miles SW Grafton on Western side of Nymboida River,-29.9695,152.7201,1910-,1911-1916,"Felton, 2013, p.181","New South Wales Department of Lands 1902, 'Parish of Shannon, County of Fitzroy, Land District of Grafton, Eastern Division N.S.W.', 2nd edn, Department of Lands, Sydney.",Stations
Old Toomelah,AR 58034?,,"15 miles east of Boomi, off Bruxner Road, north of Whalan Creek",-28.7292,149.782,1925-1939,1925-1939,"Felton, 2013, p.279","New South Wales Department of Lands 1916, 'Parish of Willimill, County of Stapylton, Land District of Moree, Boolooroo Shire, Central Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Stations
Pilliga,"AR 33753/4, AR 42571/2",Minnom Mission,"About 4 miles from Pilliga, on Etoo Creek",-30.3881,148.9316,1902-1959,1923-1953,"Felton, 2013, p.366","New South Wales Department of Lands 1911, 'Parish of Talluba, County of Baradine, Land District of Narrabri, Namoi & Walgett Shires, Central Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Stations
Purfleet,"AR 89, AR 31598, AR 64068/9, AR 64070/1, AR 76503",Sunrise Station,3km south of Taree,-31.9409,152.4686,1900-1967,1932-1967,"Felton, 2013, pp. 255-257; Byrne, D & Nugent, M 2004, Mapping attachment: a spatial approach to Aboriginal post-contact heritage, Dept. of Environment and Conservation (NSW), Hurstville, NSW, viewed 20 July 2016, p.33","New South Wales Department of Lands 1899, 'Parish of Bohnock, County of Gloucester, Land District of Taree, Eastern Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Stations
Roseby Park,"AR 31442, AR 42274",Crookhaven,Nowra,-34.913,150.7514,1900-1967,1906-1967,"Felton, 2013, pp. 260-264","New South Wales Department of Lands 1917, 'Parish of Wollumboola, County of St Vincent, Nowra Land District, Clyde Shire and Municipality, Eastern Division N.S.W.', 5th edn, Department of Lands, Sydney.",Stations
Runnymede (Stoney Gully),"AR 24791, AR 27158","Runnymede Home, Runnymede Aboriginal Station, Stoney Gully Aboriginal Station, Kyogle Aboriginal Station",6 miles from Kyogle,-28.6983,152.988,1896-1964,1896-1943,"Felton, 2013, p.366","New South Wales Department of Lands 1902, 'Parish of Runnymede, County of Rous, Land District of Casino, Eastern Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Stations
St Clair (Singleton),"AR 11843, AR 18034, AR 24533","St Clair Reserve, Mount Olive Reserve, Singleton","Glennies Creek, near Bourke's Gully",-32.388,151.2218,1890-1959,1916-1923,"Felton, 2013, pp. 190-192; NSW Office of Environment & Heritage 2015, St Clair Mission - Church School Site, viewed 22 June 2016, <http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?id=5062915>","New South Wales Department of Lands 1910, 'Parish of Shenstone, County of Durham, Land District of Singleton, Patrick Plains Shire, Eastern Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Stations
Tabulam,AR 72945/6,,"4 miles west of town, Rocky River",-28.8957,152.5305,1888-,1949-1967,"Felton, 2013, pp. 269-270; Edwards, D, Walker, E, NSW Department of Environment, Climate Change & Water & NSW National Parks and Wildlife Service 2010, Jubullum Flat Camp: Aboriginal area: draft plan of management, DECCW, Sydney, p.14","New South Wales Department of Lands 1930, 'Parish of Timbarra, County of Drake, Land District of Casino, Tenterfield Shire, Eastern Division N.S.W.', 5th edn, Department of Lands, Sydney.",Stations
Terry Hie Hie,AR 22505/6,,Weha Waa Creek or Back Creek,-29.8028,150.148,1895-1961,1911-1924,"Felton, 2013, p.366; NSW Office of Environment & Heritage 2015, Terry Hie Hie Corroboree Ground and Grinding Grooves, viewed 22 June 2016, <http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?id=5062910>","New South Wales Department of Lands 1929, 'Parish of Terry Hie Hie, County of Courallie, Land District of Moree, Boolooroo Shire, Central Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Stations
Toomelah (Boggabilla),"AR 66833, AR 66834","Boggabilla Aboriginal Station, New Toomelah, Toomelah Aboriginal Mission, Toomelah Station","9 miles east Boggabilla, junction of Macintyre and Dumaresq rivers",-28.6707,150.4784,1937-,1940-1967,"Felton, 2013, p.100","New South Wales Department of Lands 1915, 'Parish of Merriwa, County of Stapylton, Land District of Warialda, Boolooroo & Yallaroi Shires, Central Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Stations
Ulgundahi Island,"AR 38639, AR 41619",Maclean Aboriginal Station,Maclean,-29.434,153.2124,1904-,1907-1941,"Felton, 2013, pp. 282-283; NSW Office of Environment & Heritage 2004, Ulgundahi Island, viewed 22 June 2016, <http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?id=5055412>","New South Wales Department of Lands 1919, 'Parish of Harwood, County of Clarence, Land District of Grafton, Eastern Division N.S.W.', 4th edn, Department of Lands, Sydney.",Stations
Urunga (Yellow Rock),"AR 14679, AR 83513","Bellingen, Yellow Rock",Originally located on the island on the Bellinger River but moved to the mainland in 1921 to area of Yellow Rock after recent flooding there,-30.4831,153.0243,1891-1954,1918-1937,"Felton, 2013, p.100","New South Wales Department of Lands 1909, 'Parish of South Bellingen, County of Raleigh, Land District of Bellingen, Eastern Division N.S.W.', 4th edn, Department of Lands, Sydney.",Stations
Wallaga Lake,AR 13939,Tilba Tilba,"Located at the head of Wallaga Lake, few miles north of Bermagui. To the west of 'Timber Road'",-36.3503,150.067,1891-1963,1899-1967,"Felton, 2013, p.366","New South Wales Department of Lands 1907, 'Parish of Narooma, County of Dampier, Land District of Moruya, Eastern Division N.S.W.', 7th edn, Department of Lands, Sydney.",Stations
Warangesda,"AR 2684, AR 3160, AR 3162",,Darlington Point,-34.5944,146.0143,1880-1924,1887-1924,"Elphick, 2004, pp. 1, 36","New South Wales Department of Lands 1900, 'Parish of Waddi, County of Boyd, Narrandera Land District, Central Division', 2nd edn, Department of Lands, Sydney.",Stations
Wreck Bay,,Wreck Bay,Jervis Bay,-35.1678,150.6892,1881-,1928-1965,"Felton, 2013, p.196",,Stations
Aboriginal Cemetery (Balranald),Unknown,Mission Cemetery,East of Balranald,-34.6409,143.5787,?,,"Felton, 2013, pp.89-90","New South Wales Department of Lands 1932, 'Parish of Balranald, County of Caira, Land District of Balranald, Western Division N.S.W.', 4th edn, Department of Lands, Sydney.",Reserves
Alice Edwards Village (Bourke),AR 72021/22,The Reserve,West of Bourke,-30.0851,145.9197,1946-,,"Felton, 2013, p.111","New South Wales Department of Lands 1910, 'Parish of Bourke, County of Cowper, Land District of Bourke, Western Division N.S.W.', 2nd edn, Department of Lands, Sydney.",Reserves
Allgomera,AR 38625,,"10 km SW Macksville, Tom Mara's Creek",-30.7665,152.8298,1904-1920,,"Felton, 2013, p.220","New South Wales Department of Lands 1907, 'Parish of Allgomera, Country of Raleigh, Land District of Kempsey, Eastern Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Reserves
Jervis Bay,AR 101,,Jervis Bay,-35.0354,150.7928,1881-1916,,"Felton, 2013, p.196","New South Wales Department of Lands 1913, 'Parish of Beecroft, County of St Vincent, Land District of Nowra, Eastern Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Reserves
Burragorang Valley,AR 10159,,"On Lake Burragorang, near Higgins Bay",-34.0961,150.3742,1889-1891,,"Johnson, DD 2006, Sacred waters: the story of the Blue Mountains Gully Aboriginal people, Halstead Press, Rushcutters Bay, N.S.W., p.38",,Reserves
Byron Bay,AR 11319,Cavanba,South of Byron Bay,-28.6753,153.6065,1890-1896,,"Felton, 2013, p.135","New South Wales Department of Lands 1906, 'Parish of Byron, County of Rous, Lismore Land District, Eastern Division N.S.W.', 5th edn, Department of Lands, Sydney.",Reserves
Boggabilla,AR 14210,,"Newell Highway, half a mile from town",-28.5909,150.3603,1891-1918,,"Felton, 2013, p.107; Goodall, 1996, p.135","New South Wales Department of Lands 1897, 'Parish of Boggabilla, County of Stapylton, Land District of Warialda, Central Division N.S.W.', 2nd edn, Department of Lands, Sydney.",Reserves
Burragorang Valley,AR 14937,,"Wollondilly River, Lake Burragorang",-34.1792,150.3157,1891-1954,,"Johnson, DD 2006, Sacred waters: the story of the Blue Mountains Gully Aboriginal people, Halstead Press, Rushcutters Bay, N.S.W., p.38",,Reserves
Oban River,AR 17553,,"Tim's Gully, on Bank of Oban River, near Ward's Mistake",-30.1255,151.9103,1893-1927,,"Felton, 2013, pp. 244-245","New South Wales Department of Lands 1904, 'Parish of Oban, County of Clarke, Land District of Armidale, Eastern Division N.S.W.', Department of Lands, Sydney.",Reserves
Telegraph Point,AR 19474,,"Wilson River, south of Telegraph Point",-31.3322,152.7562,1894-,,"Felton, 2013, p.253","New South Wales Department of Lands 1912, 'Parish of Cairncross, County of Macquarie, Land District of Port Macquarie, Hastings Shire, Eastern Division N.S.W.', 5th edn, Department of Lands, Sydney.",Reserves
Peak Hill,AR 19943,,Few miles west of Peak Hill on the Bogan River,-32.7145,148.1366,1894-1900,,"Bennett, M 2014, Aboriginal history of the Parkes shire: recording and retelling Wiradjuri stories, NTSCORP, Sydney, p.25","New South Wales Department of Lands 1891, 'Parish of Mingelo, County of Narromine, Land Districts of Dubbo and Parkes, Central Division N.S.W.', 2nd edn, Department of Lands, Sydney.",Reserves
Brickey's Creek,AR 23106,,Boambla,-34.954,148.9059,1895-1912,,"Felton, 2013, p.321","New South Wales Department of Lands 1884, 'Parish of Boambolo, County of Murray, Land District of Yass, Goodradigbee Shire, Eastern Division N.S.W.', Department of Lands, Sydney.",Reserves
Bushfield,AR 23595,"Stony Creek Reserve, Ngoorumba","Bundarra, opposite banks of Moredum, Clerk's or Kelly's Creek. More than 7 miles NE Bundarra, 6 miles south of Tingha",-30.0861,151.2015,1896-1914,,"Felton, 2013, p.125","New South Wales Department of Lands 1896, 'Parish of New Valley, County of Hardinge, Land District of Inverell, Eastern Division N.S.W.', 2nd edn, Department of Lands, Sydney.",Reserves
Uralla,AR 25220/1,,"Kentucky Creek, Rocky River, 2 miles NW Uralla. Also includes reserve on western side of Uralla, SE side of junction between Burial Ground Gully and Flat Rock Gully",-30.6467,151.4641,1896-1924?,,"Felton, 2013, p.284","New South Wales Department of Lands 1901, 'Parish of Uralla, County of Sandon, Land District of Armidale, Eastern Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Reserves
