Locality_name,AR_number,Associated_names,Location_comments,Lat,Lon,Year_gazetted_est_closure,Years_of_operation_as_mission,Reference,Parish_Maps,Type
Bushfield,AR 25909,"Stony Creek Reserve, Ngoorumba","Bundarra, opposite banks of Moredum, Clerk's or Kelly's Creek. More than 7 miles NE Bundarra, 6 miles south of Tingha",-30.0732,151.1944,1897-1914,,"Felton, 2013, p.125","New South Wales Department of Lands 1917, 'Parish of Chigwell, County of Hardinge, Land District of Inverell, Guyra Shire, Eastern Division N.S.W.', 4th edn, Department of Lands, Sydney.",Reserves
Burragorang Valley,AR 27,,"Area between Tonalli River and Byrnes Creek, Lake Burragorang",-34.1367,150.3264,1878-1928,,"Johnson, DD 2006, Sacred waters: the story of the Blue Mountains Gully Aboriginal people, Halstead Press, Rushcutters Bay, N.S.W., p.39",,Reserves
Mungindi,AR 28403,,Mungindi,-28.9576,149.0249,1898-1929,,"Felton, 2013, p.233","New South Wales Department of Lands 1896, 'Parish of Yarouah, County of Benarba, Land District of Moree, Central Division N.S.W.', 2nd edn, Department of Lands, Sydney.",Reserves
Casino,AR 2950,,South Casino,-28.8804,153.0475,1887-1915,,"Felton, 2013, p.139","New South Wales Department of Lands 1894, 'Parish of South Casino, County of Richmond, Land District of Casion, Eastern Division N.S.W.', 2nd edn, Department of Lands, Sydney.",Reserves
Brickey's Creek,AR 31113/4,,Boambla,-34.9482,148.8987,1895-1912,,"Felton, 2013, p.321","New South Wales Department of Lands 1884, 'Parish of Boambolo, County of Murray, Land District of Yass, Goodradigbee Shire, Eastern Division N.S.W.', Department of Lands, Sydney.",Reserves
Ashby,"AR 2957, AR 31665",,On The Broadwater and near Clarence River,-29.4079,153.1439,1887-1927,,"Felton, 2013, p.85","New South Wales Department of Lands 1900, 'Parish of Ashby, County of Clarence, Land District of Grafton, Eastern Division N.S.W.', 2nd edn, Department of Lands, Sydney.",Reserves
Coonamble,"AR 31811, AR 32170",,"Intersection of Mowlma Creek and Castlereagh River, north of Coonamble",-30.8138,148.3077,1900-1941,,"Felton, 2013, p.148","New South Wales Department of Lands 1906, 'Parish of Yarragoora, County of Leichhardt, Coonamble Land District, Central Division N.S.W.', 2nd edn, Department of Lands, Sydney.",Reserves
Boorowa,AR 33675/6,,SE of Boorowa,-34.5774,148.9414,1901-1975,,"Felton, 2006, p.83","New South Wales Department of Lands 1900, 'Parish of Opton, County of King, Land Districts of Gunning & Boorowa, Eastern Division, N.S.W.', 3rd edn, Department of Lands, Sydney.",Reserves
Hillston,AR 37903/4,,2 miles west of Hillston,-33.4944,145.4991,1904-1926,,"Felton, 2013, p.189","New South Wales Department of Lands 1899, 'Parish of Redbank, County of Nicholson, Land District of Hillston, Central Division N.S.W.', Department of Lands, Sydney.",Reserves
Telegraph Point,AR 3994,,"Wilson River, south of Telegraph Point",-31.3371,152.7454,1890-,,"Felton, 2013, p.253","New South Wales Department of Lands 1912, 'Parish of Cairncross, County of Macquarie, Land District of Port Macquarie, Hastings Shire, Eastern Division N.S.W.', 5th edn, Department of Lands, Sydney.",Reserves
Burragorang Valley,AR 40798,,"Wollondilly River, Lake Burragorang",-34.1758,150.3097,1906-1954,,"Johnson, DD 2006, Sacred waters: the story of the Blue Mountains Gully Aboriginal people, Halstead Press, Rushcutters Bay, N.S.W., p.38",,Reserves
Byron Bay,AR 43074/5,,Near Tallow Creek,-28.6756,153.6119,1908-1916,,"Felton, 2013, p.135","New South Wales Department of Lands 1906, 'Parish of Byron, County of Rous, Lismore Land District, Eastern Division N.S.W.', 7th edn, Department of Lands, Sydney.",Reserves
Terry Hie Hie,AR 43581/2,Aboriginal cemetery,Near Terry Hie Hie,-29.8186,150.1519,1909-,,"Felton, 2013, p.366","New South Wales Department of Lands 1929, 'Parish of Terry Hie Hie, County of Courallie, Land District of Moree, Boolooroo Shire, Central Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Reserves
Coonamble,AR 43948/9,,"Castlereagh River, just north of Coonamble",-30.9192,148.3805,1909-1921,,"Felton, 2013, pp. 148-149","New South Wales Department of Lands 1906, 'Parish of Yoee, County of Leichhardt, Coonamble Land District, Central Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Reserves
Oban River,AR 44560,,"Tim's Gully, on Bank of Oban River, near Ward's Mistake",-30.1252,151.9185,1909-1927,,"Felton, 2013, pp. 244-245","New South Wales Department of Lands 1904, 'Parish of Oban, County of Clarke, Land District of Armidale, Eastern Division N.S.W.', Department of Lands, Sydney.",Reserves
Narooma,AR 49561,,"Former reserve bounded by Riverside Drive and McMillan Road, Narooma",-36.2202,150.1233,1913-?,,"Felton, 2013, p.239; Eurobodalla Shire Council, NSW Office of Environment and Heritage, Donaldson, SD & Feary, S 2012, Invisible places: historical Aboriginal reserves in the Eurobodalla Shire, NSW, Eurobodalla Shire Council, Moruya, N.S.W., p.26","New South Wales Department of Lands 1907, 'Parish of Narooma, County of Dampier, Land District of Moruya, Eastern Division N.S.W.', 7th edn, Department of Lands, Sydney.",Reserves
Baryulgil,AR 50270/1,,"West of Baryulgil, on opposite side of Clarence River, bordering Oakey Creek",-29.2083,152.5609,1914-,,"Felton, 2013, p.93","New South Wales Department of Lands 1908, 'Parish of Churchill, County of Drake, Land District of Casino, Eastern Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Reserves
Bowraville,AR 50272/3,,SE of Bowraville,-30.6671,152.8521,1914-1951?,,"Felton, 2013, pp.113-114","New South Wales Department of Lands 1912, 'Parish of Bowra, County of Raleigh, Land Districts of Bellingen and Kempsey, Eastern Division N.S.W.', 4th edn, Department of Lands, Sydney.",Reserves
Nymboida,AR 50855,,South of Nymboida,-29.973,152.7249,1915-1921,,"Felton, 2006, p.147","New South Wales Department of Lands 1914, 'Parish of Nymboida, County of Fitzroy, Land District of Grafton, Eastern Division N.S.W., Nymboida Shire', 3rd edn, Department of Lands, Sydney.",Reserves
Mongarlowe,AR 51,,"Mongarlowe District, east of Braidwood",-35.3209,149.9501,1879-1916,,"Felton, 2013, p.228","New South Wales Department of Lands 1893, 'Parish of Mongarlowe, County of St Vincent, Braidwood Land District, Eastern Division', 2nd edn, Department of Lands, Sydney.",Reserves
Narrabri,AR 54612,Aboriginal cemetery,Near site of old Narrabri reserve,-30.2989,149.7094,1921-,,"Felton, 2013, p.240","New South Wales Department of Lands 1966, 'Parish of Cooma, County of White, Land District of Narrabri, Central Division N.S.W.', 8th edn, Department of Lands, Sydney.",Reserves
Ashby,AR 55640,,"Queen Street, Ashby",-29.4365,153.1909,1922-,,"Felton, 2013, p.85","New South Wales Department of Lands 1883, 'Map of the village of Ashby, Parish of Ashby, County of Clarence, Land District of Grafton', Department of Lands, Sydney.",Reserves
Quambone,AR 63088,,Village of Quambone,-30.9385,147.8734,1931-,,"Felton, 2013, p.259","New South Wales Department of Lands 1959, 'Map of the Village of Quambone and suburban lands, Parish of Mobala, County of Gregory, Land District of Coonamble, Coonamble Shire, N.S.W.', 3rd edn, Department of Lands, Sydney.",Reserves
South West Rocks,AR 63426/7,,Near Kempsey,-30.889,153.0367,1932-,,"Felton, 2013, p.265","New South Wales Department of Lands 1929, 'Town of Arakoon and suburban lands, Parish of Arakoon, County of Macquarie, Land District of Kempsey, Macleay Shire', 3rd edn, Department of Lands, Sydney.",Reserves
Uralla,AR 67856/7,,"Reserve on western side of Uralla, SE side of junction between Burial Ground Gully and Flat Rock Gully",-30.6416,151.4866,1938-,,"Felton, 2013, p.284","New South Wales Department of Lands 1933, 'Town of Uralla and suburban lands, Land District of Armidale', 6th edn, Department of Lands, Sydney.",Reserves
Collarenebri,AR 68969,,1 mile downstream of Collarenebri,-29.5563,148.5716,1940-,,"Felton, 2013, p.144","New South Wales Department of Lands 1925, 'Parish of Pokataroo, County of Denham, Land District of Walgett, Walgett Shire, Central Division N.S.W.', 4th edn, Department of Lands, Sydney.",Reserves
Coonabarabran,AR 72169/70,,"Barradine, White and North Streets",-31.2667,149.2711,1947-,,"Felton, 2006, p.116","New South Wales Department of Lands 1939, 'Map of the Town of Coonabarabran and suburban lands, Parish of Coonabarabran, County of Gowen, Coonabarabran Land District, Coonabarabran Shire, N.S.W.', 5th edn, Department of Lands, Sydney.",Reserves
Casino,AR 72484,,"Little Street, North Casino. Town housing site",-28.864,153.0356,1947-,,"Felton, 2013, p.139",,Reserves
Coffs Harbour,AR 74036,,Town housing sites,-30.2794,153.1332,1954-,,"Felton, 2013, p.142","New South Wales Department of Lands 1970, 'Parish of Coff, County of Fitzroy', 13th edn, Department of Lands, Sydney.",Reserves
Guyra,AR 76430,,2 km north of Guyra on Inverell Road,-30.2082,151.6526,1953-1968,,"Felton, 2013, p.188","New South Wales Department of Lands 1956, 'Parish of Elderbury, County of Hardinge, Land District of Armidale, Dumaresq & Guyra Shires, Eastern Division N.S.W.', 5th edn, Department of Lands, Sydney.",Reserves
Brewarrina,AR 77614,,Town housing site on Church Street,-29.9658,146.8599,1955-,,"Felton, 2013, pp. 118, 120","New South Wales Department of Lands 1969, 'Town of Brewarrina, Parish of Brewarrina, County of Clyde, Western Division N.S.W.', 3rd edn, Western Lands Commission, Sydney.",Reserves
Bourke,AR 78457,,"Town housing site, Bourke",-30.0894,145.9281,1956-,,"Felton, 2013, p.111","New South Wales Department of Lands 1927, 'Map of the Town of Bourke, Parishes of Bourke & East Bourke, County of Cowper', 3rd edn, Department of Lands, Sydney.",Reserves
Bourke,AR 78458,,"Town housing site, Bourke",-30.0943,145.9453,1956-,,"Felton, 2013, p.111","New South Wales Department of Lands 1927, 'Map of the Town of Bourke, Parishes of Bourke & East Bourke, County of Cowper', 3rd edn, Department of Lands, Sydney.",Reserves
Gilgandra,AR 79198/9,,"Gumble Street, Gilgandra. Town housing site",-31.7165,148.6585,1956-,,"Felton, 2013, p.172","New South Wales Department of Lands 1930, 'Map of the Village of Gilgandra and suburban lands, Parishes of Bobarah & Eringanerin, Counties of Ewenmar & Cowen, Land District of Coonamble', 4th edn, Department of Lands, Sydney.",Reserves
Wellington,AR 80144,,"Near Falls Road, Wellington",-32.5571,148.9706,1957-1964,,"Felton, 2013, p.237","New South Wales Department of Lands 1956, 'Parish of Wellington, County of Wellington, Land District of Wellington, Eastern Division N.S.W.', 7th edn, Department of Lands, Sydney.",Reserves
Condobolin,AR 80173,,"Town housing site on Boona Road, Condobolin",-33.0769,147.1492,1957-1970,,"Felton, 2013, p. 145",,Reserves
Mungindi,AR 80927/8,,Town housing site in Mungindi,-28.978,148.9922,1958-,,"Felton, 2013, p.233",,Reserves
South West Rocks,AR 82168/9,,Near Kempsey,-30.8867,153.0386,1959-,,"Felton, 2013, p.265","New South Wales Department of Lands 1929, 'Town of Arakoon and suburban lands, Parish of Arakoon, County of Macquarie, Land District of Kempsey, Macleay Shire', 3rd edn, Department of Lands, Sydney.",Reserves
Coffs Harbour,AR 82112,,Town housing sites,-30.3063,153.1298,1959-,,"Felton, 2013, p.142","New South Wales Department of Lands 1968, 'Town of Coffs Harbour and adjoining lands', 4th edn, Department of Lands, Sydney.",Reserves
Coffs Harbour,AR 83084,,Town housing sites,-30.3063,153.1316,1961-,,"Felton, 2013, p.142","New South Wales Department of Lands 1968, 'Town of Coffs Harbour and adjoining lands', 4th edn, Department of Lands, Sydney.",Reserves
Narrabri,AR 83416,,"Kogil and Deran Streets, Narrabri. Town housing sites",-30.3339,149.7522,1961-,,"Felton, 2013, p.240","New South Wales Department of Lands 1972, 'Town of Narrabri West and adjoining lands', 6th edn, Department of Lands, Sydney.",Reserves
Bourke,AR 83582,,"Town housing site, Bourke",-30.0897,145.9278,1961-,,"Felton, 2013, p.111","New South Wales Department of Lands 1927, 'Map of the Town of Bourke, Parishes of Bourke & East Bourke, County of Cowper', 3rd edn, Department of Lands, Sydney.",Reserves
Guyra,AR 83884,,Town housing site,-30.2214,151.6817,1962-,,"Felton, 2013, p.188","New South Wales Department of Lands 1967, 'Village of Guyra and adjoining lands', 5th edn, Department of Lands, Sydney.",Reserves
Coonabarabran,AR 84539,,Dalgarno street. Town housing site,,,1963-,,"Felton, 2006, p.116","New South Wales Department of Lands 1967, 'Town of Coonabarabran and adjoining lands', 7th edn, Department of Lands, Sydney.",Reserves
Coonabarabran,AR 84540,,Oxley Highway. Town housing site,-31.284,149.283,1963-,,"Felton, 2006, p.116","New South Wales Department of Lands 1960, 'Parish of Coonabarabran, County of Gowen, Land District of Coonabarabran, Coonabarabran Shire, Central Division N.S.W.', 9th edn, Department of Lands, Sydney.",Reserves
Bourke,AR 84544,,"Town housing site, Bourke",-30.0913,145.9275,1963-,,"Felton, 2013, p.111","New South Wales Department of Lands 1927, 'Map of the Town of Bourke, Parishes of Bourke & East Bourke, County of Cowper', 3rd edn, Department of Lands, Sydney.",Reserves
Balranald,AR 84805,,"Church Street, Balranald",-34.6309,143.5547,1964-,,"Felton, 2013, pp.89-90","New South Wales Department of Lands 1971, 'Town of Balranald and adjoining lands', 6th edn, Department of Lands, Sydney.",Reserves
Condobolin,AR 84827,,"Gordon and Station streets, Condobolin. Town housing sites",-33.0853,147.1552,1964-,,"Felton, 2013, p.145",,Reserves
Uralla,AR 85414,,Uralla. Town housing site,-30.6367,151.5031,1965-,,"Felton, 2013, p.284","New South Wales Department of Lands 1970, 'Town of Uralla and adjoining lands', 8th edn, Department of Lands, Sydney.",Reserves
Ashford,AR 85428,,Ashford town housing site,-29.3273,151.0899,1965-,,"Felton, 2013, p.88","New South Wales Department of Lands 1883, 'Map of the Village of Ashby, Parish of Ashby, County of Clarence, Land District of Grafton', Department of Lands, Sydney.",Reserves
Goodooga,AR 85734/9,,Town housing sites,-29.111,147.454,1967-,,"Felton, 2013, pp. 174-176","New South Wales Department of Lands 1974, 'Village of Goodooga, Parish of Cowga, County of Narran, Western Division N.S.W.', Western Lands Commission, Sydney.",Reserves
Collarenebri,AR 86194,,"Church, Earl and High Streets of Collarenebri",-29.5416,148.5763,1967-,,"Felton, 2013, p.144","New South Wales Department of Lands 1939, 'Map of the Town of Collarenebri and suburban lands, Parish of Collarindabri, County of Finch, Land District of Walgett North', 5th edn, Department of Lands, Sydney.",Reserves
Coffs Harbour,AR 87033,,Town housing sites,-30.2962,153.133,1968-,,"Felton, 2013, p.142","New South Wales Department of Lands 1968, 'Town of Coffs Harbour and adjoining lands', 4th edn, Department of Lands, Sydney.",Reserves
Ashford,AR 87126,,Ashford town housing site,-29.327,151.0984,1969-,,"Felton, 2013, p.88","New South Wales Department of Lands 1960, 'Map of the Village of Ashford and suburban lands, Parish of Ashford, County of Arrawatta, Land District of Inverell, Eastern Division N.S.W.', 4th edn, Department of Lands, Sydney.",Reserves
Tingha,AR 87714,,Town housing site,-29.9603,151.2031,1970-,,"Felton, 2013, p.277","New South Wales Department of Lands 1980, 'Parish of Darby, County of Hardinge', 8th edn, Department of Lands, Sydney.",Reserves
Moree,AR 8924,,"Southern bank of Gwydir River, Moree",-29.4673,149.8319,1893-1902,,"Felton, 2013, pp. 300-301","New South Wales Department of Lands 1890, 'Map of the Town of Moree and suburban lands, Parish of Moree, County of Courallie, Land District of Moree, N.S.W.', Department of Lands, Sydney.",Reserves
Baan Baa,AR 32747/8,,Boggabri district,-30.594,149.9522,1901-1918,,"Felton, 2013, p.88","New South Wales Department of Lands 1898, 'Parish of Baan Baa, County of Pottinger, Land District of Narrabri, Central Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Reserves
Ballina,"AR 1026, AR 5081",,"Emigrant Creek, 3 miles NW of Ballina",-28.8657,153.5088,1888-1914,,"Felton, 2013, p.88","New South Wales Department of Lands 1896, 'Parish of Ballina, County of Rous, Land District of Lismore, Eastern Division N.S.W.', 4th edn, Department of Lands, Sydney.",Reserves
Barrington,AR 35673/4,"Copeland, Barrington River",1 mile west of Barrington,-32.0001,151.8966,1890-1957,,"Felton, 2013, pp. 91-92; Byrne, D & Nugent, M 2004, Mapping attachment: a spatial approach to Aboriginal post-contact heritage, Dept. of Environment and Conservation (NSW), Hurstville, NSW, viewed 20 July 2016, <http://www.environment.nsw.gov.au/resources/cultureheritage/04001MapAttach.pdf>, p.43","New South Wales Department of Lands 1915, 'Parish of Fitzroy, County of Gloucester, Land District of Stroud, Gloucester Shire, Eastern Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Reserves
Barwon 4,AR 4,,Brewarrina,-29.9453,146.8606,1885-,,"Felton, 2013, pp. 118, 120",,Reserves
Baryulgil,AR 82681,,South of Josephs Creek,-29.2205,152.6028,1960-,,"Felton, 2013, p.93","New South Wales Department of Lands 1936, 'Parish of Yulgilbar, County of Drake, Land District of Grafton, Copmanhurst Shire, Eastern Division N.S.W.', 5th edn, Department of Lands, Sydney.",Reserves
Batemans Bay,AR 34759,,"Two reserves adjacent to each other in Batemans Bay township. Blocks dissected by High Street, with South Street along southern boundary, Short Street is to north and Pacific Street on eastern boundary",-35.7148,150.1808,1902-1927,,"Eurobodalla Shire Council, NSW Office of Environment and Heritage, Donaldson, SD & Feary, S 2012, Invisible places: historical Aboriginal reserves in the Eurobodalla Shire, NSW, Eurobodalla Shire Council, Moruya, N.S.W., pp. 24-25",,Reserves
Bega,AR 85253,,"Bega, town housing site.",-36.6942,149.8413,1965-,,"Felton, 2013, pp. 97-99","New South Wales Department of Lands 1966, 'Parish of Bega, County of Auckland', 8th edn, Department of Lands, Sydney.",Reserves
Bellwood,"AR 73990, AR 87256",Bellwood Creek,Southern end of Nambucca Heads,-30.6594,152.983,1951-,,"Felton, 2013, p.102; NSW National Parks and Wildlife Service 2003, Aboriginal women’s heritage: Nambucca, NSW National Parks and Wildlife Service, Sydney","New South Wales Department of Lands 1942, 'Parish of Nambucca, County of Raleigh, Land Districts of Bellingen & Kempsey', 8th edn, Department of Lands, Sydney.",Reserves
Bermagui,AR 86062,,"Town housing site at Hill Street, Bermagui",-36.4268,150.0653,1964-,,"Felton, 2013, p.103",,Reserves
Binnaway,AR 35012,Yarrawin?,"Located on west bank of Castlereagh River, downstream from Belar Creek, about 7 miles from Binnaway and 15 miles from Coonabarabran",-31.4542,149.314,1902-1954,,"Felton, 2013, p.103","New South Wales Department of Lands 1901, 'Parish of Yarrawin, County of Gowen, Land District of Coonabarabran, Central Division N.S.W.', 2nd edn, Department of Lands, Sydney.",Reserves
Blakney Creek,"AR 153, AR 2296, AR 3758/9, AR 8531/2",,Yass,-34.6448,149.0302,1881-1940,,"Felton, 2013, pp. 317-319","New South Wales Department of Lands 1895, 'Parish of Blakney, County of King, Land District of Gunning & Boorowa, Eastern Division N.S.W.', 2nd edn, Department of Lands, Sydney.",Reserves
Booligal,AR 19141,,"Parish of Simson, south of Booligal, fronting Lachlan River",-33.9144,144.8547,1893-1906,,"Felton, 2013, p.109","New South Wales Department of Lands 1902, 'Parish of Simson, County of Waradgery, Land District of Hay, Waradgery Shire, Central Division N.S.W.', 2nd edn, Department of Lands, Sydney.",Reserves
Borah Crossing,AR 35745,,"On Namoi River, near head of Lake Keepit",-30.7843,150.5652,1903-1961,,"Felton, 2013, p. 111","New South Wales Department of Lands 1909, 'Parish of Keepit, County of Darling, Land District of Tamworth, Liverpool Plains Shire, Eastern Division N.S.W.', 4th edn, Department of Lands, Sydney.",Reserves
Bowraville,AR 62815/6,The Mission,"Southern end of Bowraville, Cemetery Road",-30.6545,152.8477,1931-,,"Felton, 2013, pp.113-114","New South Wales Department of Lands 1957, 'Parish of Bowra, County of Raleigh, Land Districts of Bellingen and Kempsey, Eastern Division N.S.W.', 7th edn, Department of Lands, Sydney.",Reserves
Box Ridge (Coraki),AR 41808/9,,West of Coraki,-28.998,153.2685,1907-,,"Felton, 2013, p.115","New South Wales Department of Lands 1910, 'Parish of West Coraki, County of Richmond, Land District of Casino, Eastern Division N.S.W.', 4th edn, Department of Lands, Sydney.",Reserves
Bugilbar Creek,"AR 69558, AR 84957",,Bugilbar Creek,-29.1947,152.6111,1940-,,"Felton, 2013, p.123","New South Wales Department of Lands 1924, 'Parish of Ogilvie, County of Drake, Land District of Grafton, Copmanhurst Shire, Eastern Division N.S.W.', 4th edn, Department of Lands, Sydney.",Reserves
Buronga,AR 84994,,Town housing site. Buronga,-34.1699,142.19,1964-,,"Felton, 2013, p.128","New South Wales Department of Lands 1968, 'Village of Buronga and adjoining lands', 1st edn, Department of Lands, Sydney.",Reserves
Carore,AR 32730,,"8 miles north of Moree, Medgum Creek to north of Great Ana Branch of Gwydir River",-29.385,149.8277,1901-1915,,"Felton, 2013, p.136","New South Wales Department of Lands 1896, 'Parish of Carore, County of Courallie, Land District of Moree, Central Division N.S.W.', 6th edn, Department of Lands, Sydney.",Reserves
Chinderah,AR 83787/8,,6 miles south of Tweed Heads,-28.2401,153.5509,1962-,,"Felton, 2013, p.141","New South Wales Department of Lands 1967, 'Parish of Cudgen, County of Rous, Land District of Murwillumbah', 12th edn, Department of Lands, Sydney; New South Wales Department of Lands 1942, 'Parish of Cudgen, County of Rous, Land District of Murwillumbah', 10th edn, Department of Lands, Sydney.",Reserves
Clarenza,AR 42532,,3 miles SE of Grafton,-29.7095,152.9812,1908-1914,,"Felton, 2013, p.178","New South Wales Department of Lands 1904, 'Parish of Clarenza, County of Clarence, Land District of Grafton, Eastern Division', 3rd edn, Department of Lands, Sydney.",Reserves
Clouds Creek,AR 2958,,On Nymboida River at junction with Clouds Creek,-30.0043,152.717,1887-1921,,"Felton, 2013, p.182","New South Wales Department of Lands 1903, 'Parish of Jardine, County of Fitzroy, Grafton Land District, Eastern Division N.S.W.', 2nd edn, Department of Lands, Sydney.",Reserves
Coolangatta,AR 29911,Crooked River (Kiama),"North side of the entrance to the Shoalhaven River, near Crooked River, south of Geroa",-34.7796,150.7912,1899-1953,,"Felton, 2013, p.244","New South Wales Department of Lands 1898, 'Parish of Broughton, County of Camden, Land Districts of Nowra & Kiama, Eastern Division N.S.W.', 4th edn, Department of Lands, Sydney.",Reserves
Coomaditchie (Port Kembla),AR 83896,Kemblawarra?,Warrawong in Port Kembla area,-34.4932,150.9007,1929-,,"Felton, 2013, p.146; Goodall, H 1996, Invasion to embassy: land in Aboriginal politics in New South Wales, 1770-1972, Allen & Unwin in association with Black Books, Sydney, pp. 308-309",,Reserves
Copmanhurst,Unknown,,2 miles north of Copmanhurst,-29.5801,152.7805,1908-,,"Felton, 2013, p.180","New South Wales Department of Lands 1914, 'Map of the Village of Copmanhurst and suburban lands, Parish of Copmanhurst, County of Clarence, Land District of Grafton, Copmanhurst Shire, N.S.W.', 3rd edn, Department of Lands, Sydney.",Reserves
Cow Creek,AR 31243/4,Cow Creek Aboriginal Reserve,NW of Nambucca Heads,-30.6143,152.9697,1900-1952,,"Felton, 2013, p.236","New South Wales Department of Lands 1909, 'Parish of Valley Valley, County of Raleigh, Land District of Bellingen, Eastern Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Reserves
Cubawee,"AR 63335, AR 71667",Tuncester,"West of Lismore, near Tuncester",-28.794,153.2066,1932-1964,,"Felton, 2013, p.219; NSW Office of Environment & Heritage 2015, Cubawee, viewed 22 June 2016, <http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?id=5062869>","New South Wales Department of Lands 1942, 'Parish of South Lismore, County of Rous, Land District of Lismore', 7th edn, Department of Lands, Sydney.",Reserves
Cuppacunbalong,AR 23076,,"Naas Creek, south of Tharwa",-35.6257,149.0641,1895-1899,,"Felton, 2013, p.259; Jackson-Nakano, A 2001, The Kamberri: a history from the records of Aboriginal families in the Canberra-Queanbeyan district and surrounds 1820-1927 and historical overview 1928-2001, Aboriginal History Monograph 8, Aboriginal History, Canberra, pp. 134, 138",,Reserves
