Locality_name,AR_number,Associated_names,Location_comments,Lat,Lon,Year_gazetted_est_closure,Years_of_operation_as_mission,Reference,Parish_Maps,Type
Curlewis,AR 81340,,10 miles south of Gunnedah,-31.1148,150.2623,1959-,,"Felton, 2013, p.158","New South Wales Department of Lands 1914, 'Map of the Village of Curlewis and suburban lands, Parish of Curlewis, County of Pottinger, Land District of Gunnedah, Liverpool Plains Shire, N.S.W.', Western Lands Commission, Sydney.",Reserves
Currowan Creek,AR 17546/7,,Nelligen,-35.5698,150.1687,1893-1956,,"Felton, 2013, p.158; Donaldson, SD, Eurobodalla Shire Council & New South Wales Department of Environment and Conservation 2006, Stories about the Eurobodalla by Aboriginal people: public report: stage two Eurobodalla Aboriginal cultural heritage study, Eurobodalla Shire Council, Moruya, N.S.W., p. 37","New South Wales Department of Lands 1907, 'Parish of Currowan, County of St Vincent, Land Districts of Moruya & Milton, Eastern Division N.S.W.', 2nd edn, Department of Lands, Sydney.",Reserves
Cuttabri,AR 37420,,"Junction of Namoi River and Coghill Creek, Cuttabri",-30.3124,149.2225,1904-1939,,"Felton, 2013, p.295","New South Wales Department of Lands 1915, 'Parish of Bulgarra, County of White, Land District of Narrabri, Namoi Shire, Central Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Reserves
Dalmeny,Unknown,,"8 miles from Bodalla, north of Wagonga River",-36.1793,150.1252,1861-1895,,"Felton, 2013, pp. 105-106; Eurobodalla Shire Council, NSW Office of Environment and Heritage, Donaldson, SD & Feary, S 2012, Invisible places: historical Aboriginal reserves in the Eurobodalla Shire, NSW, Eurobodalla Shire Council, Moruya, N.S.W., p.6",,Reserves
Dandaloo,AR 30499,,"Near Trangie, 25 miles SW",-32.2612,147.5894,1885-1960s,,"NSW Office of Environment & Heritage 2015, Dandaloo Reserve (Innalla), viewed 22 June 2016, <http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?id=5062937>","New South Wales Department of Lands 1899, 'Parish of Yarradigerie, County of Narromine, Land District of Dubbo, Central Division N.S.W.', 2nd edn, Department of Lands, Sydney.",Reserves
Delegate,AR 15784,,,-37.0436,148.9038,1892-1957,,"NSW Office of Environment & Heritage 2015, Delegate Aboriginal Reserve, viewed 22 June 2016, <http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?id=5062872>",,Reserves
Deniliquin,"AR 79410/1, AR 84135, AR 88048",,"Macauley and Ochertyre streets, Deniliquin. Town housing sites",-35.532,144.9471,1957-,,"Felton, 2013, pp. 161-162",,Reserves
Dennawan (Tatala),AR 49252/3,"Dennawan, Dennewan, Denawan, Denowan","Near Culgoa River, 30 miles west Goodooga",-29.1157,147.0266,1913-1969,,"Felton, 2013, p.271; Harrison, R 2004, Shared landscapes: archaeologies of attachment and the pastoral industry in New South Wales, UNSW Press, Sydney, pp. 166-168",,Reserves
Dingo Creek (Wingham),AR 40391,Ashlea Reserve,Near Wingham,-31.8414,152.2928,1906-1960,,"Felton, 2013, p.299; Byrne, D & Nugent, M 2004, Mapping attachment: a spatial approach to Aboriginal post-contact heritage, Dept. of Environment and Conservation (NSW), Hurstville, NSW, viewed 20 July 2016, <http://www.environment.nsw.gov.au/resources/cultureheritage/04001MapAttach.pdf>, p.104",,Reserves
Dodge City,AR 84764,,Brewarrina,-29.9585,146.8449,1964-,,"Felton, 2013, pp. 118, 120","New South Wales Department of Lands 1972, 'Parish of Brewarrina, County of Clyde', 3rd edn, Department of Lands, Sydney.",Reserves
Enngonia,AR 79636,,100km north of Bourke,-29.3187,145.8485,1957-,,"Felton, 2013, p.164","New South Wales Department of Lands 1984, 'Map of the Town of Enngonia and suburban lands, Parish of Enngonia, County of Culgoa, Land District of Burke, N.S.W.', Western Lands Commission, Sydney.",Reserves
Euabalong,AR 44783/4,Euabalong Aboriginal Fringe Camp,16 miles north of Lake Cargelligo,-33.1242,146.4737,1910-1954,,"Kabaila, PR 2011, Survival legacies: stories from Aboriginal settlements of southeastern Australia, Canprint, Canberra, p.454; NSW Office of Environment & Heritage 2015, Euabalong Aboriginal Fringe Camp, viewed 22 June 2016, <http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?id=5062880>","New South Wales Department of Lands 1898, 'Parish of Gumbagunda, County of Dowling, Land District of Condobolin, Central Division N.S.W.', 2nd edn, Department of Lands, Sydney.",Reserves
Eugowra,AR 9386,,"Waughan Road, west of town, near Mandagery Creek",-33.3556,148.2938,1889-1922,,"Felton, 2013, p.166; Kabaila, PR 2011, Survival legacies: stories from Aboriginal settlements of southeastern Australia, Canprint, Canberra, p.193","New South Wales Department of Lands 1908, 'Parish of Eugowra, County of Ashburnham, Land District of Forbes, Central Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Reserves
Eungai,AR 39584/5,,8 miles south of Macksville,-30.8162,152.8437,1905-1920,,"Felton, 2013, p.220","New South Wales Department of Lands 1907, 'Parish of Allgomera, Country of Raleigh, Land District of Kempsey, Eastern Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Reserves
Evans Head,AR 83775,,"Heath Street, Evans Head. Town housing site",-29.1066,153.4291,1962-,,"Felton, 2013, p.168",,Reserves
Fattorini Islands,"AR 252, AR 253",Gladstone,Near Gladstone,-31.0106,152.953,1885-1960,,"Felton, 2013, p.205; NSW Office of Environment and Heritage 2011, Living by the Macleay River, viewed 4 July 2016, <http://www.environment.nsw.gov.au/nswcultureheritage/macleayriver.htm>","New South Wales Department of Lands 1911, 'Parish of Kinchela, County of Macquarie, Kempsey Land District, Eastern Division N.S.W.', 5th edn, Department of Lands, Sydney.",Reserves
Flakeney Creek,"AR 43, AR 17623/4",Pudman Creek,SE of Boorowa,-34.5864,148.95,1870s-1940s,,"Felton, 2013, p.312; Kabaila, PR 2011, Survival legacies: stories from Aboriginal settlements of southeastern Australia, Canprint, Canberra, p.202","New South Wales Department of Lands 1900, 'Parish of Opton, County of King, Land Districts of Gunning & Boorowa, Eastern Division, N.S.W.', 3rd edn, Department of Lands, Sydney.",Reserves
Forster,"AR 13438/9, AR 22946, AR 46534, AR 81522",Cabarita,Townsend Street,-32.1878,152.5172,1891-,,"Felton, 2013, pp. 169-171; Byrne, D & Nugent, M 2004, Mapping attachment: a spatial approach to Aboriginal post-contact heritage, Dept. of Environment and Conservation (NSW), Hurstville, NSW, viewed 20 July 2016, <http://www.environment.nsw.gov.au/resources/cultureheritage/04001MapAttach.pdf>, p.111",,Reserves
Glen Innes,AR 83876,,Town housing sites on Mossman Street,-29.7276,151.7266,1962-,,"Felton, 2013, p.174","New South Wales Department of Lands 1971, 'Town of Glen Innes and adjoining lands', 6th edn, Department of Lands, Sydney.",Reserves
Glenreagh,AR 84929,,25 miles north of Coffs Harbour,-30.0573,152.9726,1964-,,"Felton, 2013, p.183","New South Wales Department of Lands 1962, 'Village of Glenreagh and adjoining lands, Land District of Grafton', 3rd edn, Department of Lands, Sydney.",Reserves
Goodooga,"AR 16047/8, AR 26133, AR 44303/4, AR 71410",,"Town Common, 1/2 mile NW of town",-29.1038,147.4451,1892-,,"Felton, 2013, pp. 174-176","New South Wales Department of Lands 1899, 'Parish of Cowga, County of Narran, Land District of Brewarrina, Western Division N.S.W.', 1st edn, Department of Lands, Sydney.",Reserves
Gooloogong,AR 50887/8,,"1 mile north of town, south of Lachlan River, between 'Kallara Bank' homestead and pumping station",-33.6083,148.4197,1915-1965,,"Felton, 2013, p.177","New South Wales Department of Lands 1917, 'Map of the village of Gooloogong and suburban lands, Parish of Binda, County of Forbes, Land District of Grenfell, Waugolda Shire, N.S.W.', 3rd edn, Department of Lands, Sydney.",Reserves
Greenhill,"AR 79176, AR 84710","Green Hill, Green Hills",4 miles NW of Kempsey,-31.0597,152.8095,1956-,,"Felton, 2013, pp. 183-184","New South Wales Department of Lands 1960, 'Parish of Yarravel, County of Dudley, Land District of Kempsey, Macleay Shire & Municipality of Kempsey, Eastern Division N.S.W.', 8th edn, Department of Lands, Sydney.",Reserves
Grong Grong,"AR 130, AR 3019",Old Mission,SW of Grong Grong town on north bank of Murrumbidgee and south of Bundidgerry Creek,-34.7992,146.6749,1884-1916,,"Felton, 2013, p.185; Kabaila, PR 2011, Survival legacies: stories from Aboriginal settlements of southeastern Australia, Canprint, Canberra, pp. 282-284","New South Wales Department of Lands 1885, 'Parish of Grong Grong, County of Cooper, Central Division N.S.W.', 2nd edn, Department of Lands, Sydney.",Reserves
Gulargambone,Two reserves,,Gulargambone,-31.3223,148.4706,1892-,,"Felton, 2013, pp. 185-187",,Reserves
Gunnedah,AR 85480,,Carroll Street,-30.9849,150.2637,1965-,,"Felton, 2013, p.188",,Reserves
Gunnedah Hill (Coonabarabran),AR 77160/61,,"Coonabarabran North, off Queenie Street",-31.2622,149.281,1954-,,"Felton, 2013, p.147","New South Wales Department of Lands 1960, 'Parish of Coonabarabran, County of Gowen, Land District of Coonabarabran, Coonabarabran Shire, Central Division N.S.W.', 9th edn, Department of Lands, Sydney.",Reserves
Hollywood Reserve,AR 68669/70,"The Old Mission, Old Reserve",Yass,-34.8398,148.8895,1929-1963,,"Kabaila, PR 2011, Survival legacies: stories from Aboriginal settlements of southeastern Australia, Canprint, Canberra, p.238",,Reserves
Ilford,"AR 43, AR 76A",,"Western side of the Crudine Creek or Cunningham's Creek, 12 miles west of Ilford",-32.971,149.6743,1878-1892,,"Felton, 2013, p.193","New South Wales Department of Lands 1884, 'Parish of Tunnabidgee, County of Wellington, Wellington Land District', Department of Lands, Sydney.",Reserves
Iluka Creek,AR 2952,,16 miles NE of Maclean,-29.3888,153.3492,1887-1916,,"Felton, 2013, p.221","New South Wales Department of Lands 1900, 'Parish of Nanegai, County of Clarence, Land District of Grafton, Eastern Division N.S.W.', 2nd edn, Department of Lands, Sydney.",Reserves
Inglebah,AR 17780,"Inglaba, Inglebar","Located on Macdonald River, between Woolbrook and Niangala, 16 miles SW of Walcha",-31.1702,151.4515,1893-1940s,,"Felton, 2013, p.194; NSW Office of Environment and Heritage 2015, Inglebah, viewed 19 August 2016, <http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?id=5062938>","New South Wales Department of Lands 1918, 'Parish of Cobrabald, County of Vernon, Land District of Walcha, Apsley Shire, Eastern Division N.S.W.', 4th edn, Department of Lands, Sydney.",Reserves
Joes Creek (Batemans Bay),"AR 46562, 23700",,"Located in Batemans Bay, west of Beach Road at Corrigans beach",-35.7271,150.1928,1923-1944?,,"Eurobodalla Shire Council, NSW Office of Environment and Heritage, Donaldson, SD & Feary, S 2012, Invisible places: historical Aboriginal reserves in the Eurobodalla Shire, NSW, Eurobodalla Shire Council, Moruya, N.S.W., p.27",,Reserves
Karuah,AR 27957,Sawyers Point,Just north of Karuah Town,-32.6432,151.9586,1898-,,"Felton, 2013, p.198","New South Wales Department of Lands 1910, 'Parish of Tarean, County of Gloucester, Land Districts of Maitland and Stroud, Wallarobba and Port Stephens Shire, Eastern Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Reserves
Kent Reach (Hawkesbury River),"AR 9856, AR 23957",,1.5 miles upstream from Sackville Reach,-33.4885,150.8762,1896-1900,,"Felton, 2013, p.251;Brook, J 1999, Shut out from the world: the Hawkesbury Aborigines Reserve and Mission 1889-1946, Second edition, revised, Deerubbin Press, Berowra Heights, N.S.W., p.25",,Reserves
Kiah,AR 87736,,Near Eden,-37.1434,149.8628,1970-,,"Felton, 2006, p.172","New South Wales Department of Lands 1972, 'Parish of Nullica, County of Auckland', 7th edn, Department of Lands, Sydney.",Reserves
Killawarra Reserve,AR 44847/8,,"on Dingo Creek, 5 miles SW of Wingham",-31.8954,152.3057,1894-1921,,"Felton, 2013, p.299; Byrne, D & Nugent, M 2004, Mapping attachment: a spatial approach to Aboriginal post-contact heritage, Dept. of Environment and Conservation (NSW), Hurstville, NSW, viewed 20 July 2016, <http://www.environment.nsw.gov.au/resources/cultureheritage/04001MapAttach.pdf>, p.101",,Reserves
Kullatine,AR 12998,,,-31.0883,152.6923,1890-1919,,"Felton, 2006, p.169","New South Wales Department of Lands 1907, 'Parish of Kullatine, County of Dudley, Land District of Kempsey, Eastern Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Reserves
Kurranburrock Reserve (Megalong),"AR 97, AR 25296/7",Megalong Aboriginal Reserve,"Megalong, 6 miles south of Black Heath on Pulpit Hill Creek",-33.71,150.2361,1883-1916,,"Felton, 2013, p.224; Johnson, DD 2006, Sacred waters: the story of the Blue Mountains Gully Aboriginal people, Halstead Press, Rushcutters Bay, N.S.W., pp. 20-21","New South Wales Department of Lands 1893, 'Parish of Megalong, County of Cook, Land District of Lithgow, Eastern Division N.S.W.', 1st edn, Department of Lands, Sydney.",Reserves
La Perouse,"AR 1778, AR 2622, AR 5195, AR 22358/9, AR 82060, AR 82960",Sydney,Northern side of Botany Bay,-33.9834,151.2334,1895-,,"Felton, 2013, p. 214-217; NSW Office of Environment & Heritage 2012, La Perouse Mission Church, viewed 22 June 2016, <http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?id=5061399>","New South Wales Department of Lands 1916, 'Parish of Botany, County of Cumberland, Metropolitan Land District, Eastern Division N.S.W.', 4th edn, Department of Lands, Sydney.",Reserves
Lake Cargelligo,AR 85284,,Lake Cargelligo town housing site,-33.2998,146.3721,1965-,,"Felton, 2013, p.213",,Reserves
Lawrence,AR 50988,,"West side of Clarence River, 7 miles SW of Maclean",-29.4926,153.0927,1916-1940s,,"Felton, 2013, p.179","New South Wales Department of Lands 1922, 'Map of the Town of Lawrence and suburban lands, Parish of Lawrence, County of Clarence, Land District of Grafton, Harwood Shire, N.S.W.', 4th edn, Department of Lands, Sydney.",Reserves
Leech's Gully (Tenterfield),AR 86307,,"Town housing site, 3 miles east of Tenterfield",-29.0149,152.0356,1967-1974,,"Felton, 2006, p.177","New South Wales Department of Lands 1964, 'Parish of Tenterfield, County of Clive, Land District of Tenterfield', 9th edn, Department of Lands, Sydney.",Reserves
Little Shark Island,AR 17537,,,-30.8789,152.9938,1893-1919,,"Felton, 2006, p.168","New South Wales Department of Lands 1913, 'Parish of Arakoon, County of Macquarie, Land District of Kempsey, Macleay Shire, Eastern Division N.S.W.', 5th edn, Department of Lands, Sydney.",Reserves
Long Gully (Ngoorumba),"AR 18210, AR 64833","Tingha, Ngoorumba","5 miles south of Tingha, on Stony Creek route from Bundarra to Tingha",-29.9867,151.1995,1893-1977,,"Felton, 2013, p.277","New South Wales Department of Lands 1926, 'Parish of Darby, County of Hardinge, Land District of Inverell, Guyra Shire, Eastern Division N.S.W.', 5th edn, Department of Lands, Sydney.",Reserves
Maclean,AR 78401,,Maclean. Town housing site on Hillcrest Road,-29.4664,153.2065,1956-,,"Felton, 2013, p.221","New South Wales Department of Lands 1961, 'Map of the Town of Maclean and suburban and part adjacent lands, Parish of Taloumbi, County of Clarence, Land District of Grafton, Maclean Shire, N.S.W.', 5th edn, Department of Lands, Sydney.",Reserves
Mallanganee,"AR 84119, AR 88413",,Town housing sites,-28.9065,152.7218,1962-,,"Felton, 2013, p.223",,Reserves
Merriman Island,AR 43646,Wallaga Lake,Wallaga Lake,-36.3671,150.0633,1909-1931,,"Felton, 2013, p.366","New South Wales Department of Lands 1914, 'Parish of Bermaguee, County of Dampier, Land District of Bega, Eastern Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Reserves
Merriman's Reserve (Tarourga Lake),AR 347,,South shores of Lake Tarourga,-36.1125,150.1275,1877-1969,,"Eurobodalla Shire Council, NSW Office of Environment and Heritage, Donaldson, SD & Feary, S 2012, Invisible places: historical Aboriginal reserves in the Eurobodalla Shire, NSW, Eurobodalla Shire Council, Moruya, N.S.W. p .10",,Reserves
Mitchell (Mann) River,"AR 2953, AR 6303",,12 miles west of Copmanhurst and Clarence River,-29.6201,152.5431,1887-1915,,"Felton, 2013, p.181","New South Wales Department of Lands 1884, 'Parish of Cangi, County of Drake, Land District of Grafton, Eastern Division N.S.W.', 2nd edn, Surveyor General's Office, Sydney.",Reserves
Moruya,AR 246,,"East of Moruta, bisected by South Head Road",-35.9167,150.1169,1875-1886,,"Eurobodalla Shire Council, NSW Office of Environment and Heritage, Donaldson, SD & Feary, S 2012, Invisible places: historical Aboriginal reserves in the Eurobodalla Shire, NSW, Eurobodalla Shire Council, Moruya, N.S.W., p.9",,Reserves
Mullumbimby,AR 14606,Brunswick River Reserve,"Middle Arm of Brunswick River, 7 miles from Brunswick Heads",-28.5348,153.5273,1891-1915,,"Felton, 2013, p.232","New South Wales Department of Lands 1896, 'Parish of Brunswick, County of Rous, Land Districts of Murwillumbah and Lismore, Eastern Division N.S.W.', 5th edn, Department of Lands, Sydney.",Reserves
Murray's Flat (Tarraganda),Unknown,,"Tarraganda, town housing site",-36.6637,149.8798,1960s-,,"Felton, 2013, pp. 97-99","New South Wales Department of Lands 1966, 'Parish of Bega, County of Auckland', 8th edn, Department of Lands, Sydney.",Reserves
Namitjira Avenue (Dareton),AR 87140,"Fletcher's Lake, Namatjira Reserve",Near Wentworth,-34.1002,142.0727,1969-,,"Felton, 2013, p.159",,Reserves
Namoi Village,AR 75350,"Namoi Bend, Namoi Village",Walgett,-30.0087,148.1149,1889-,,"Felton, 2013, p.287","New South Wales Department of Lands 1935, 'Parish of Walgett, County of Denham, Land District of Walgett, Walgett Shire, Central Division N.S.W.', 5th edn, Department of Lands, Sydney.",Reserves
Nanima,"AR 45426/7, AR 87975",,6km east of Wellington,-32.5794,148.9853,1910-,,"Felton, 2013, p.237; Kabaila, PR 2011, Survival legacies: stories from Aboriginal settlements of southeastern Australia, Canprint, Canberra, p.131","New South Wales Department of Lands 1903, 'Parish of Wellington, County of Wellington, Land District of Wellington, Eastern Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Reserves
Narrabri,"AR 7903, AR 28098, AR 54612","Bohena Creek Reserve, Tipperina Mission","Junction of Bohena Creek and Namoi River, west Narrabri",-30.2761,149.704,1888-1920,,"Felton, 2013, pp. 239-240","New South Wales Department of Lands 1909, 'Parish of Cooma, County of White, Land District of Narrabri, Central Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Reserves
Narwan Village (Armidale),AR 81255,"The Dump, Silver City","Armidale East, former rubbish depot",-30.5292,151.6822,1953-,,"Felton, 2013, pp.84-85",,Reserves
Neddy's Reserve (Tuross Lake),AR 378,,"South bank of Tuross River, adjacent to Borang Lake",-36.0697,150.0961,1878-1918?,,"Eurobodalla Shire Council, NSW Office of Environment and Heritage, Donaldson, SD & Feary, S 2012, Invisible places: historical Aboriginal reserves in the Eurobodalla Shire, NSW, Eurobodalla Shire Council, Moruya, N.S.W., p.16",,Reserves
Nelson Bay,AR 15750,,Port Stephens,-32.7198,152.1195,1892-1916,,"Felton, 2013, p.241","New South Wales Department of Lands 1918, 'Parish of Tomaree, County of Gloucester, Land Districts of Newcastle and Stroud, Port Stephens Shire, Eastern Division N.S.W.', 6th edn, Department of Lands, Sydney.",Reserves
Ngaru Village,AR 85628,Pippi Beach Reserve,10 miles NE of Maclean,-29.4465,153.3619,1963-,,"Felton, 2013, p.304","New South Wales Department of Lands 1968, 'Town of Yamba and adjoining lands', 7th edn, Department of Lands, Sydney.",Reserves
Nowendoc,"AR 41026, AR 68391",,,-31.5475,151.7753,1906-1955,,"Felton, 2013, p. 243","New South Wales Department of Lands 1932, 'Parish of Ward, County of Hawes, Land Districts of Walcha and Taree', 4th edn, Department of Lands, Sydney.",Reserves
Nulla Nulla (Burragorang Valley),AR 26,,"Byrne's Creek, Burragorang Valley",-34.1473,150.3092,1878-1942,,"Johnson, DD 2006, Sacred waters: the story of the Blue Mountains Gully Aboriginal people, Halstead Press, Rushcutters Bay, N.S.W., pp. 39-40",,Reserves
Oak Hill Reserve,"AR 7366, AR 9537",North Yass Reserve,Yass,-34.8262,148.9205,1888-1950s,,"NSW Office of Environment & Heritage 2015, Oak Hill Reserve, viewed 22 June 2016, <http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?id=5062961>",,Reserves
Orara Reserve,AR 4164,,"38 miles from Grafton, possibly 10 miles NW of Coffs Harbour, and about 10 miles from coast",-30.1459,153.0189,1887-1899,,"Felton, 2013, p.183","New South Wales Department of Lands 1892, 'Parish of Moonee, County of Fitzroy, Land Districts of Grafton & Bellingen, Eastern Division N.S.W.', 2nd edn, Department of Lands, Sydney.",Reserves
O'Rourke's Settlement,"AR 168, AR 52841/2",,Taylor's Arm of Nambucca River,-30.708,152.9035,1884-1920?,,"Felton, 2013, pp.113-114","New South Wales Department of Lands 1904, 'Parish of Bowra, County of Raleigh, Land Districts of Bellingen and Kempsey, Eastern Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Reserves
Parkes,AR 17818,,"Goobang Creek, near Billabong goldfields, east of Parkes",-33.0304,148.2475,1893-1902,,"Felton, 2013, p.245; Bennett, M 2014, Aboriginal history of the Parkes shire: recording and retelling Wiradjuri stories, NTSCORP, Sydney.","New South Wales Department of Lands 1891, 'Parish of Beargamil, County of Ashburnham, Parkes Land District, Central Division N.S.W.', 2nd edn, Department of Lands, Sydney.",Reserves
Pelican Island,AR 251,,Near Kempsey,-30.9306,153.0335,1885-1924,,"Felton, 2013, p.201; NSW Office of Environment and Heritage 2011, Living by the Macleay River, viewed 4 July 2016, <http://www.environment.nsw.gov.au/nswcultureheritage/macleayriver.htm>","New South Wales Department of Lands 1913, 'Parish of Arakoon, County of Macquarie, Land District of Kempsey, Macleay Shire, Eastern Division N.S.W.', 5th edn, Department of Lands, Sydney.",Reserves
Pindari,AR 17800,"Glenorchy, Ashford","Near Pindari Creek, near Ashford",-29.5058,151.2249,1893-1957,,"Felton, 2013, pp. 86-87","New South Wales Department of Lands 1895, 'Parish of Pindari, County of Arrawatta, Inverell Land District, Eastern Division N.S.W.', 2nd edn, Department of Lands, Sydney.",Reserves
Police Paddock (The Sandhills),"AR 7304/5, AR 67083",,Darlington Point,-34.5712,146.0102,1925?-,,"Felton, 2013, p.160; Kabaila, PR 2011, Survival legacies: stories from Aboriginal settlements of southeastern Australia, Canprint, Canberra, p.349; Elphick, BG & Elphick, DJ 2004, The camp of mercy: an historical and biographical record of the Warangesda Aboriginal mission/station, Darlington Point, New South Wales, [Rev. ed. ]., Gulambali Aboriginal Research, Canberra, p.36","New South Wales Department of Lands 1901, 'Map of the village of Darlington Point, Parish of Colaragang, County of Cooper, District of Narrandera', Department of Lands, Sydney.",Reserves
Pooncarie,"AR 44656, AR 47842, AR 48942","Old Pooncarie Mission, Mallara Reserve",3 miles from town,-33.3588,142.5199,1909-1933,,"Felton, 2013, p.249","New South Wales Department of Lands 1921, 'Map of the County of Perry, Western Division, Land Districts of Wentworth, Wilcannia and Balranald', Department of Lands, Sydney.",Reserves
Primbee,AR 78373,,"Primbee, Port Kembla",-34.501,150.8809,1956-,,"Felton, 2013, p.254",,Reserves
Quirindi,AR 84765,,Quirindi. Town housing site,-31.5225,150.674,1964-,,"Felton, 2013, p.260","New South Wales Department of Lands 1972, 'Town of Quirindi and adjoining lands', 7th edn, Department of Lands, Sydney.",Reserves
Richard Bolloway Reserve (Tuross Lake),AR 346,,Southern shores of Tuross Lake,-36.0819,150.1267,1877-1914,,"Eurobodalla Shire Council, NSW Office of Environment and Heritage, Donaldson, SD & Feary, S 2012, Invisible places: historical Aboriginal reserves in the Eurobodalla Shire, NSW, Eurobodalla Shire Council, Moruya, N.S.W., p.12",,Reserves
Rollands Plains,AR 2598,,"10 miles NW of Telegraph Point and to north of Wauchope, on Brill Brill Creek",-31.2791,152.6836,1886-1960,,"Felton, 2013, p.260","New South Wales Department of Lands 1918, 'Parish of Cogo, County of Macquarie, Land District of Port Macquarie, Hastings Shire, Eastern Division N.S.W', 5th edn, Department of Lands, Sydney.",Reserves
Sackville Reach (Hawkesbury River),"AR 9857, AR 23958, AR 28546",Cumberland Reach,"Western bank of River, 20 miles downstream from Windsor",-33.4689,150.8764,1889-1946,,"Felton, 2013, p.250; Brook, J 1999, Shut out from the world: the Hawkesbury Aborigines Reserve and Mission 1889-1946, Second edition, revised, Deerubbin Press, Berowra Heights, N.S.W., p.25","New South Wales Department of Lands 1905, 'Parish of Meehan, County of Cook, Windsor Land District, Eastern Division N.S.W.', 4th edn, Department of Lands, Sydney.",Reserves
