Name,Features,Alternative Name,Wikipedia,Commenced,Opened,Closed,Line Length (km)
GREAT NORTHERN LINE,1,,https://en.wikipedia.org/wiki/Great_Northern_Railway_(Mt_Isa_line),1880,1929,,1000
GLEN WAVERLEY LINE,63,,https://en.wikipedia.org/wiki/Glen_Waverley_line,1890,1930,,21
TEXAS BRANCH,6,,https://en.wikipedia.org/wiki/Texas_railway_line,1929,1930,1994,
WHYALLA - IRON BARON,3,,https://en.wikipedia.org/wiki/BHP_Whyalla_Tramway,,1930,,
TEMORA ROTO RAILWAY,92,,https://en.wikipedia.org/wiki/Temora%E2%80%93Roto_railway_line,1920,1931,,
EAST HILLS RAILWAY,57,,https://en.wikipedia.org/wiki/East_Hills_railway_line,,1931,,
GLADSTONE MONTO BRANCH,32,Calliope to Monto,https://en.wikipedia.org/wiki/Byellee_to_Monto_railway_line,1910,1931,2005,
INTERSTATE LINE,73,Roma Street to NSW Border,https://en.wikipedia.org/wiki/Sydney%E2%80%93Brisbane_rail_corridor,1930,1932,,792
OAKLANDS LINE,38,,"https://en.wikipedia.org/wiki/Oaklands_railway_line,_Victoria",1883,1932,,125
CAMURRA BOGGABILLA RAILWAY,17,,https://en.wikipedia.org/wiki/Boggabilla_railway_line,1928,1932,2013,130
MOSS VALE UNANDERRA RAILWAY,16,,https://en.wikipedia.org/wiki/Unanderra%E2%80%93Moss_Vale_railway_line,1925,1932,,57
PICTON JUNCTION NORTHCLIFFE RAILWAY,26,,https://en.wikipedia.org/wiki/Northcliffe_railway_line,1891,1933,,205
DERWENT VALLEY LINE,132,,https://en.wikipedia.org/wiki/Derwent_Valley_Railway_(Tasmania),1887,1936,1995,74
PORT AUGUSTA YARD,55,,,1915,1937,,
COONAMIA - PORT AUGUSTA,9,,,1915,1937,,315
MERRITON - PORT PIRIE,1,,https://en.wikipedia.org/wiki/Adelaide%E2%80%93Port_Augusta_railway_line,,1937,,
BUNGENDORE CAPTAINS FLAT RAILWAY,12,,https://en.wikipedia.org/wiki/Captains_Flat_railway_line,1938,1940,1968,
KWINANA MUNDIJONG JUNCTION RAILWAY,5,,https://en.wikipedia.org/wiki/Kwinana_freight_railway,,1950,,
LEIGH CREEK COALFIELD LINE,320,Marree railway line,https://en.wikipedia.org/wiki/Marree_railway_line,1956,1957,2016,
GREAT NORTHERN RAILWAY,11,MARREE ALICE SPRINGS RAILWAY,https://en.wikipedia.org/wiki/Marree_railway_line,,1957,2016,
WEST COAST WILDERNESS RAILWAY,51,,https://en.wikipedia.org/wiki/West_Coast_Wilderness_Railway,1899,1963,,35
HAMERSLEY IRON ORE RAILWAY,52,,https://en.wikipedia.org/wiki/Hamersley_%26_Robe_River_railway,,1966,,1700
ROBE RIVER RAILROAD,18,,https://en.wikipedia.org/wiki/Hamersley_%26_Robe_River_railway,,1966,,1700
COFFIN BAY - PORT LINCOLN,17,,https://en.wikipedia.org/wiki/Coffin_Bay_tramway,,1966,1989,40
GOLDSWORTHY LTD RAILWAY,16,,https://en.wikipedia.org/wiki/Goldsworthy_railway,,1966,,208
PENONG JUNCTION - KEVIN,2,,https://en.wikipedia.org/wiki/Eyre_Peninsula_Railway,,1966,,
BLACKWATER SYSTEM,295,Rocklands to Nogoa,https://en.wikipedia.org/wiki/Blackwater_railway_system,,1967,,1111
MOURA LINE,18,Moura to Baralaba,https://en.wikipedia.org/wiki/Moura_railway_line,,1968,,
FORRESTFIELD KENWICK RAILWAY,2,,https://en.wikipedia.org/wiki/Kwinana_freight_railway,,1968,,
MOUNT NEWMAN RAILROAD,28,,https://en.wikipedia.org/wiki/Mount_Newman_railway,,1969,,426
WHYALLA BRANCH,26,,https://en.wikipedia.org/wiki/Whyalla_railway_line,,1972,,74
WHYALLA HARBOR,26,,https://en.wikipedia.org/wiki/Whyalla_railway_line,,1972,,
WHYALLA,25,,https://en.wikipedia.org/wiki/Whyalla_railway_line,,1972,,
BELL BAY LINE,155,,https://en.wikipedia.org/wiki/Bell_Bay_Line,1973,1974,,57
GREENVALE BRANCH,10,Cobarra to Greenvale,https://en.wikipedia.org/wiki/Greenvale_railway_line,1972,1974,1992,225
DONGARA ENEABBA RAILWAY,4,,https://en.wikipedia.org/wiki/Dongara%E2%80%93Eneabba_railway_line,,1976,2013,94
NOARLUNGA - ADELAIDE,14,,https://en.wikipedia.org/wiki/Seaford_line,1913,1978,,36
EASTERN SUBURBS RAILWAY,18,,https://en.wikipedia.org/wiki/Eastern_Suburbs_railway_line,,1979,,7
SUNSHINE COAST LINE,12,Roma Street to Caboolture,https://en.wikipedia.org/wiki/Sunshine_Coast_railway_line,,1980,,180
SANDY HOLLOW GULGONG RAILWAY,72,,https://en.wikipedia.org/wiki/Sandy_Hollow%E2%80%93Gulgong_railway_line,1937,1985,,125
EAST GIPPSLAND RAIL TRAIL,117,,https://en.wikipedia.org/wiki/East_Gippsland_Rail_Trail,,1916,1987,96
WHYALLA - IRON DUKE,11,,https://en.wikipedia.org/wiki/BHP_Whyalla_Tramway,,1990,1998,
YANDI SPUR LINE,9,,https://en.wikipedia.org/wiki/Goldsworthy_railway,,1990,,
JIMBLEBAR SPUR LINE,5,,https://en.wikipedia.org/wiki/Mount_Newman_railway,,1990,,
AREA C SPUR LINE,4,,https://en.wikipedia.org/wiki/Mount_Newman_railway,,1990,,
WESTERN SG LINE,380,Western standard gauge railway line,https://en.wikipedia.org/wiki/Western_standard_gauge_railway_line,1994,1995,,532
PUFFING BILLY RAILWAY,95,,https://en.wikipedia.org/wiki/Puffing_Billy_Railway,1958,1998,,25
AIRPORT LINE,27,,"https://en.wikipedia.org/wiki/Airport_railway_line,_Brisbane",,2001,,16
TARCOOLA DARWIN RAILWAY,41,,https://en.wikipedia.org/wiki/Adelaide%E2%80%93Darwin_railway_line,1975,2004,,2979
DARWIN LINE,31,,https://en.wikipedia.org/wiki/Adelaide%E2%80%93Darwin_railway_line,1975,2004,,
GOLD COAST LINE,37,Beenleigh to Varsity Lakes,https://en.wikipedia.org/wiki/Gold_Coast_railway_line,1996,2007,,
EAST PERTH COCKBURN NORTH RAILWAY,10,,https://en.wikipedia.org/wiki/Cockburn_Central_railway_station,,2007,,21
PERTH MANDURAH RAILWAY,5,,https://en.wikipedia.org/wiki/Mandurah_line,,2007,,71
PERTH COCKBURN RAILWAY,1,,https://en.wikipedia.org/wiki/Cockburn_Central_railway_station,2005,2007,,
WEST TAMWORTH BARRABA RAILWAY,63,,https://en.wikipedia.org/wiki/Barraba_railway_line,1908,2008,,99
THE FORTESCUE RAILWAY,14,"SOLOMON HUB RAILWAY, CHICHESTER HUB RAILWAY",https://en.wikipedia.org/wiki/Fortescue_railway,,2008,,
REGIONAL RAIL LINK,20,,https://en.wikipedia.org/wiki/Regional_Rail_Link_project,,2009,2015,48
WODONGA RAIL BYPASS,13,,https://en.wikipedia.org/wiki/Wodonga_Rail_Bypass,2008,2010,,
NEWLANDS SYSTEM,78,Pring to North Goonyella,https://en.wikipedia.org/wiki/GAP_line,1922,2012,,
TILLEY KARARA RAILWAY,3,,https://en.wikipedia.org/wiki/Karara_railway_line,2010,2012,,78
UNKNOWN,7722,,,,,,
YARRA VALLEY TOURIST RAILWAY,64,,https://en.wikipedia.org/wiki/Yarra_Valley_Railway,,,,12
PORT LINCOLN YARD,60,,,,,,
PRIVATE RAILWAY,56,,,,,,
BLACKTOWN RICHMOND RAILWAY,49,,https://en.wikipedia.org/wiki/Richmond_railway_line,,1864,,
OLYMPIC PARK RAILWAY,44,,,,,,
PORT KEMBLA RAILWAY,43,,,,,,
SOUTH WEST RAILWAY,43,,,,,,
OUTER HARBOR LINE,39,,,,,,
VICTORIAN GOLDFIELDS RAILWAY,34,,,,,,
FERNY GROVE LINE,32,,,,,,
FLINDERS STREET-VIADUCT,32,,,,,,
RAILCAR DEPOT SIDETRACK,32,,,,,,
SYDENHAM BANKSTOWN RAILWAY,30,,,,,,
NUMURKAH-NATHALIA RAILWAY,28,,https://en.wikipedia.org/wiki/Numurkah_railway_station,1881,1993,,
SOUTH KENSINGTON-WEST FOO,27,,,,,,
SUTHERLAND CROA RAILWAY,26,,,,,,
BALLARAT-BUNINYONG RAILWAY,25,,,,,,
PORT PIRIE ENVIRONS,25,,,,,,
UNDERGROUND LOOP,25,,,,,,
TAILEM BEND YARD,23,,,,,,
CITY CIRCLE RAILWAY,22,,,,,,
GLENELG TRAM,22,,,,,,
CABRAMATTA REGENTS PARK RAILWAY,21,,,,,,
FISHERMAN ISLANDS FREIGHT LINE  (B),21,,,,,,
SHORNCLIFFE LINE,21,,,,,,
SPRINGFIELD LINE,21,,,,,,
CLYDE CARLINGFORD RAILWAY,20,,,,,,
DOOKIE LINE,20,,https://en.wikipedia.org/wiki/Shepparton_railway_station,,1888,,
INTERCONNECTING RAILWAY,20,,,,,,
ALAMEIN LINE,19,,,,,,
PORT PIRIE SPUR LINE,19,,,,,,
THEVENARD YARD,18,,,,,,
IDA BAY RAILWAY,17,,,,,,
EXHIBITION LINE,16,,,,,,
MARIBYRNONG RIVER BRANCH,16,,,,,,
MARY VALLEY RAILWAY,16,,,,,,
ZIG ZAG HISTORICAL RAILWAY,16,,,,,,
DRAYTON BALLOON LOOP,15,,,,,,
REDCLIFFE PENINSULA LINE,15,,,,,,
BANKSTOWN REGENTS PARK RAILWAY,14,,,,,,
ENTERTAINMENT CENTRE TRAM,13,,,,,,
REGENTS PARK LIDCOMBE RAILWAY,13,,,,,,
GREENFIELDS RAIL TRACK 02,12,,,,,,
RICHMOND VALE RAILWAY,12,,https://en.wikipedia.org/wiki/Richmond_Vale_railway_line,,,,29
BORDERTOWN SPUR LINE,11,,,,,,
EAST END TRAM,11,,,,,,
FISHERMAN ISLANDS FREIGHT LINE  (S),11,Dutton Park to Fisherman Islands,https://en.wikipedia.org/wiki/Fisherman_Islands_railway_line,,,,24
HELLYER SPUR,11,,,,,,
MELBOURNE-COBURG,11,,https://en.wikipedia.org/wiki/Upfield_line,,,,20
COMALCO RAILWAY,10,,,,,,
ST KILDA TRAMWAY,10,,,,,,
SWANBANK BRANCH,10,,,,,,
BRIGHTON,9,,,,,,
KEITH SPUR LINE,9,,,,,,
MARYVALE MILL LINE,9,,,,,,
WINTERSLOW SPUR LINE,9,,,,,,
DOOMBEN LINE,8,,,,,,
FESTIVAL CENTRE TRAM,8,,,,,,
KWINANA LOOP RAILWAY,8,,,,,,
MACKAY HARBOUR,8,,,,,,
MURRAY BRIDGE DOCKYARDS,8,,,,,,
OKEEFE RAIL TRAIL,8,,,,,,
RAVENSHOE STEAM RAILWAY,8,,,,,,
RUSHWORTH-COLBINABBIN RAILWAY,8,,https://en.wikipedia.org/wiki/Colbinabbin_railway_line,1890,1914,1987,
Sydney Metro Northwest,8,,,,,,
BETHUNGRA SPIRAL,7,,,,,,
DON RIVER RAILWAY,7,,,,,,
FISHERMAN ISLANDS FREIGHT LINE  (D),7,,,,,,
GALONG BOOROWA RAILWAY,7,,,,,,
NEVERTIRE WARREN RAILWAY,7,,,,,,
NUMURKAH-COBRAM RAILWAY,7,,,,,,
PENONG JUNCTION - PENONG,7,,,,,,
SEAFORD - ADELAIDE,7,,,,,,
SOUTHERN RAILWAY,7,,,,,,
WEE GEORGIE WOOD STEAM RAILWAY,7,,,,,,
ADELAIDE - OUTER HARBOR,6,,,,,,
CAIRNS WHARF COMPLEX,6,,,,,,
EPPING CHATSWOOD RAILWAY,6,,,,,,
FLEMINGTON RACECOURSE,6,,,,,,
GLADSTONE SPUR LINE,6,,,,,,
GOODWOOD - ADELAIDE 02,6,,,,,,
MURRAY BRIDGE SPUR LINE,6,,,,,,
WIRREGA SPUR LINE,6,,,,,,
CAVAN - DRY CREEK 04,5,,,,,,
FITZROY-WHITTLESEA,5,,,,,,
GRANGE LINE,5,,,,,,
LALEHAM BRANCH,5,,,,,,
MARYVALE BRANCH,5,,,,,,
MOUNT GAMBIER RAIL TRAIL,5,,,,,,
MOUNT MORGAN RAILWAY MUSEUM,5,,,,,,
PIMBA SPUR,5,,,,,,
PORT AUGUSTA - QUORN (PICHI RICHI RAILWAY),5,,,,,,
VICTOR HARBOR SPUR LINE,5,,,,,,
WINDERA BRANCH,5,,,,,,
ALBERTON - DRY CREEK01,4,,,,,,
AMIENS BRANCH,4,,,,,,
ARCHER PARK RAIL MUSEUM,4,,,,,,
BALLARAT CATTLE YARDS BRANCH RAILWAY,4,,,,,,
COONALPYN SPUR LINE,4,,,,,,
CUMMINS SPUR LINE,4,,,,,,
GOULBURN VALLEY RAILWAY,4,,,,,,
GULGONG MARY VALE RAILWAY,4,,"https://en.wikipedia.org/wiki/Maryvale,_New_South_Wales",1937,,,125
PENRICE LINE,4,,,,,,
PICHI RICHI RAIL SPUR LINE,4,,,,,,
PINKENBA LINE,4,,,,,,
SEAFORD - ALDINGA,4,,,,,,
TEXAS & INGLEWOOD HERITAGE RAILWAY,4,,,,,,
TINTINARA SPUR LINE,4,,,,,,
ZINC WORKS LINE,4,,,,,,
ADELAIDE AREA 02,3,,,,,,
ALUMINA JUNCTION CALCINE RAILWAY,3,,,,,,
AMY GILLETT BIKEWAY,3,,,,,,
CALLINGTON SPUR LINE,3,,,,,,
CAVAN - DRY CREEK 01,3,,,,,,
COCKBURN NORTH SOUNDCEM RAILWAY,3,,,,,,
DARLING-GLEN WAVERLEY,3,,,,,,
FLINDERS LINK,3,,,,,,
HOLDEN ELIZABETH TRACK 01,3,,,,,,
LEIGH CREEK - PORT AUGUSTA PS,3,,,,,,
MIRBOO NORTH-BOOLARRA RAIL TRAIL,3,,,,,,
MOE-YALLOURN RAIL TRAIL,3,,,,,,
MUNDIJONG JARRAHDALE NO 2 RAILWAY,3,,,,,,
OUTER HARBOR SIDETRACK 02,3,,,,,,
PORT AUGUSTA WORKSHOPS TRACK,3,,,,,,
QUEENSLAND POINEER STEAM RAILWAY,3,,,,,,
RICHMOND-ALPHINGTON,3,,,,,,
ROPES CREEK RAILWAY,3,,,,,,
TARCOOLA SPUR LINE,3,,,,,,
TARONG BRANCH,3,,,,,,
WINGFIELD- DRY CREEK 05,3,,,,,,
WOLSELEY SPUR LINE,3,,,,,,
ALLORA BRANCH RAILWAY,2,,,,,,
BALLARAT RACECOURSE & SPRINGS RAILWAY,2,,,,,,
BEECHWORTH-YACKANDANDAH RAILWAY,2,,,,,,
COLLIE WESTERN NO 2 RAILWAY,2,,,,,,
DARTBROOK BALLOON LOOP,2,,,,,,
ENTERTAINMENT CENTRE SPUR LINE,2,,,,,,
GILLMAN - EASTERN PDE 01,2,,,,,,
GLANVILLE STATION MIDDLE TRACK 01,2,,,,,,
GLANVILLE TO BIRKENHEAD 04,2,,,,,,
GOOLWA YARD,2,,,,,,
INVICTA MILL,2,,,,,,
KAMBALDA REDMINE RAILWAY,2,,,,,,
LAURA-STONE HUT RAIL TRAIL,2,,,,,,
MARYBOROUGH MINIATURE RAILWAY,2,,,,,,
MOUNT BARKER JUNCTION-VICTOR HARBOR,2,,,,,,
POORAKA LINE 01,2,,,,,,
PORT ADELAIDE FLAT,2,,,,,,
PORT FLAT TRACK,2,,,,,,
RAILWAY MUSEUM RAIL,2,,,,,,
SALSIBURY - ADELAIDE 03,2,,,,,,
SPUR,2,,,,,,
TONSLEY LINE,2,,,,,,
TOODYAY BRANCH LINE,2,,,,,,
WORSLEY HAMILTON RAILWAY,2,,,,,,
ABBATOIR BRANCH,1,,,,,,
ADELAIDE AREA 01,1,,,,,,
ANGASTON TO NURIOOTPA RAIL TRAIL,1,,,,,,
AVON RIVER RAIL BRIDGE,1,,,,,,
BEALIBA SIDING,1,,,,,,
BELAIR SIDETRACK 01,1,,,,,,
BLACKWOOD SECOND TRACK 01,1,,,,,,
BLUESCOPE LYSAGHT SIDING,1,,,,,,
CARNARVON JETTY TOURIST TRAMWAY,1,,,,,,
CAVAN TRACK 01,1,,,,,,
CHRISTIES BEACH SIDETRACK 01,1,,,,,,
CHRISTIES BEACH SIDETRACK 02,1,,,,,,
COCKBURN,1,,,,,,
COCKBURN EAST COCKBURN NORTH RAILWAY,1,,,,,,
COCKBURN NORTH COCKBURN SOUTH RAILWAY,1,,,,,,
COOMANDOOK SPUR LINE,1,,,,,,
COOMBE SPUR LINE,1,,,,,,
COONAMIA - PORT PIRIE,1,,,,,,
CROSS RIVER RAIL,1,,,,,,
CURRENCY CREEK SPUR LINE,1,,,,,,
DRY CREEK RAIL TRACK 01,1,,,,,,
DRY CREEK SPUR,1,,,,,,
DUDLEY PARK SIDETRACK 01,1,,,,,,
DUDLEY PARK SIDETRACK 04,1,,,,,,
EDEN HILLS SIDETRACK 01,1,,,,,,
FINNISS SPUR LINE,1,,,,,,
FREIGHT TERMINAL TURNSTYLE TRACK 01,1,,,,,,
GIPPSLAND RAILWAY,1,,,,,,
GLANVILLE STATION SIDETRACK 01,1,,,,,,
GLANVILLE TO BIRKENHEAD 02,1,,,,,,
GLANVILLE TO BIRKENHEAD 03,1,,,,,,
GOODWOOD - ADELAIDE 03,1,,,,,,
GOODWOOD-BELAIR 01,1,,,,,,
GOOMBURRA BRANCH,1,,,,,,
GRAIN TERMINAL,1,,,,,,
GRANGE - HENLEY BEACH,1,,,,,,
GREENFIELDS SIDETRACK 01,1,,,,,,
HALLET COVE SIDETRACK 01,1,,,,,,
HALLET COVE SIDETRACK 02,1,,,,,,
HOLDEN ELIZABETH TRACK 02,1,,,,,,
HOLDEN ELIZABETH TRACK 03,1,,,,,,
HOTHAM VALLEY TOURIST RAILWAY,1,,,,,,
ISLINGTON WORKSHOP TRACK 01,1,,,,,,
JAMESTOWN - YONGALA,1,,,,,,
KALAMIA MILL,1,,,,,,
KANANDAH SIDING,1,,,,,,
KAPPINNIE LINE,1,,,,,,
KORONG VALE - KULWIN,1,,,,,,
KORONG VALE CROSSING LOOP,1,,,,,,
KORONG VALE SIDING,1,,,,,,
KWINANA ALCOA RAILWAY,1,,,,,,
LAMEROO SILOS,1,,,,,,
LARGS BAY SIDETRACK 01,1,,,,,,
LARGS BAY SIDETRACK 03,1,,,,,,
LUBREK-WALLALOO,1,,,,,,
MAIN NORTH RAILWAY,1,,,,,,
MALLALA GRAIN LOOP,1,,,,,,
MARBURG BRANCH RAILWAY,1,,,,,,
MELBOURNE-HAWTHORN,1,,,,,,
MELROSE-WILMINGTON RAIL TRAIL,1,,,,,,
MIDDLETON SPUR LINE,1,,,,,,
MOE-YALLOURN,1,,,,,,
MOUNT BARKER JUNCTION SPUR LINE,1,,,,,,
MOUNT BARKER_JUNCTION - VICTOR HARBOR,1,,,,,,
NOWINGI-MILLEWA SOUTH,1,,,,,,
NURLUTTA SIDETRACK 01,1,,,,,,
NURLUTTA SIDETRACK 02,1,,,,,,
NURRAGI CONSERVATION RESERVE WALKING TRAIL,1,,,,,,
OAKLANDS PARK SIODETRACK 03,1,,,,,,
OUTER HARBOR SIDETRACK 03,1,,,,,,
PEACOCK RD SIDETRACK 01,1,,,,,,
PETWORTH SPUR LINE,1,,,,,,
PINNAROO AWB,1,,,,,,
PINNAROO SILOS,1,,,,,,
POORAKA LINE 02,1,,,,,,
PORT AUGUSTA SPUR LINE,1,,,,,,
PORT BROUGHTON - MUNDOORA,1,,,,,,
PORT DOCK SIDETRACK 04,1,,,,,,
PORT ELLIOT SPUR LINE,1,,,,,,
REDHILL SPUR LINE,1,,,,,,
REGENCY PARK SIDETRACK 01,1,,,,,,
ROCK RIVER SPUR LINE,1,,,,,,
ROCKY RIVER RAIL TRAIL,1,,,,,,
SALSIBURY SIDETRACK 01,1,,,,,,
SALSIBURY SIDETRACK 02,1,,,,,,
SANDERGROVE - MILANG,1,,,,,,
SEA LAKE SIDING,1,,,,,,
SEA WORLD MONORAIL,1,,,,,,
SKIPTON-BALLARAT,1,,,,,,
SNOWTOWN - BUTE,1,,,,,,
SOUTH EASTERN RAILWAY,1,,,,,,
SPENCER LOOP,1,,,,,,
STRATHMERTON TOCUMWAL RAILWAY,1,,,,,,
THACKARINGA LOOP,1,,,,,,
TONSLEY - ADELAIDE,1,,,,,,
WHYALLA UNLOADER,1,,,,,,
WINGFIELD - DRY CREEK 01,1,,,,,,
WIRRIDA LOOP,1,,,,,,
WOODVILLE - GRANGE 02,1,,,,,,
WOOMELANG SIDING,1,,,,,,
